,MeanR,StdR,EnoughData
2020-03-24,1.659772803,0.126073977,1
2020-03-25,1.550253864,0.113527955,1
2020-03-26,1.438369635,0.104484446,1
2020-03-27,1.500283162,0.100877667,1
2020-03-28,1.456892711,0.09682547,1
2020-03-29,1.417386027,0.090371758,1
2020-03-30,1.387264437,0.086163761,1
2020-03-31,1.385781804,0.084141035,1
2020-04-01,1.320893707,0.078472469,1
2020-04-02,1.281043368,0.075184293,1
2020-04-03,1.260587704,0.072362531,1
2020-04-04,1.129596151,0.067139093,1
2020-04-05,1.120357003,0.066501095,1
2020-04-06,1.27166333,0.069266489,1
2020-04-07,1.335005043,0.070663229,1
2020-04-08,1.572704367,0.074053006,1
2020-04-09,1.490392872,0.070435686,1
2020-04-10,1.288267243,0.062769859,1
2020-04-11,1.182127705,0.058452364,1
2020-04-12,1.112387961,0.055100332,1
2020-04-13,1.097635204,0.053760356,1
2020-04-14,1.175187459,0.055220427,1
2020-04-15,1.128819504,0.053457416,1
2020-04-16,1.311123898,0.056713424,1
2020-04-17,1.374898395,0.057330106,1
2020-04-18,1.344735136,0.054907368,1
2020-04-19,1.386108219,0.054939398,1
2020-04-20,1.233557176,0.050023524,1
2020-04-21,1.133223834,0.04642892,1
2020-04-22,0.998114075,0.043283125,1
2020-04-23,1.095334968,0.044783615,1
2020-04-24,1.122024979,0.045321123,1
2020-04-25,1.105662237,0.044366828,1
2020-04-26,1.072260511,0.043219489,1
2020-04-27,1.015330931,0.041353479,1
2020-04-28,0.904943543,0.038726706,1
2020-04-29,0.876750478,0.038210962,1
2020-04-30,0.709677829,0.03470513,1
2020-05-01,0.624146944,0.033266629,0
2020-05-02,0.595844755,0.033667182,0
2020-05-03,0.499298824,0.032079637,0
2020-05-04,0.531025053,0.034771519,0
2020-05-05,0.541390171,0.037295599,0
2020-05-06,0.495289259,0.037337618,0
2020-05-07,0.355570825,0.032748432,0
2020-05-08,0.316034712,0.033420139,0
2020-05-09,0.311074702,0.035108171,0
2020-05-10,0.341056022,0.039717409,0
2020-05-11,0.381238818,0.045784516,0
2020-05-12,0.463083358,0.05435942,0
2020-05-13,0.5008418,0.060088883,0
2020-05-14,0.574016088,0.068140163,0
2020-05-15,0.59554898,0.071464557,0
2020-05-16,0.716739792,0.082438236,0
2020-05-17,0.758929899,0.086244256,0
2020-05-18,0.755751601,0.087547157,0
2020-05-19,0.709215938,0.085356133,0
2020-05-20,0.668434538,0.08365574,0
2020-05-21,0.600266261,0.08023449,0
2020-05-22,0.538664241,0.078673639,0
2020-05-23,0.592946286,0.085817427,0
2020-05-24,0.679179081,0.096091859,0
2020-05-25,0.754881286,0.103795504,0
2020-05-26,0.706388068,0.103932456,0
2020-05-27,0.710101443,0.104949788,0
2020-05-28,0.696892136,0.107524686,0
2020-05-29,0.682429752,0.107683177,0
2020-05-30,0.510416809,0.096082951,0
2020-05-31,0.529333434,0.101900036,0
2020-06-01,0.574750951,0.111745793,0
2020-06-02,0.626325345,0.120272603,0
2020-06-03,0.727284169,0.13477488,0
2020-06-04,0.640576503,0.130841764,0
2020-06-05,0.653521041,0.134515812,0
2020-06-06,0.72448662,0.147124,0
2020-06-07,0.611514744,0.13809625,0
2020-06-08,0.648934796,0.14512307,0
2020-06-09,0.658275793,0.152775619,0
2020-06-10,0.700791017,0.163096473,0
2020-06-11,0.864804349,0.186390152,0
2020-06-12,0.940222436,0.202235189,0
2020-06-13,1.041674036,0.209427091,0
2020-06-14,1.167644541,0.223598972,0
2020-06-15,1.271769306,0.230304443,0
2020-06-16,1.228967164,0.218568531,0
2020-06-17,1.400996871,0.231040859,0
2020-06-18,1.330115057,0.223015463,0
2020-06-19,1.723776562,0.240396826,0
2020-06-20,1.831694069,0.24168862,0
2020-06-21,1.654282295,0.213424077,0
2020-06-22,1.449730018,0.189814531,0
2020-06-23,1.327951413,0.172538975,0
2020-06-24,1.580296206,0.185306735,0
2020-06-25,1.763401851,0.18624995,0
2020-06-26,1.803573684,0.179708953,0
2020-06-27,1.774543999,0.167046063,1
2020-06-28,1.625275132,0.153522774,1
2020-06-29,1.424316913,0.134873658,1
2020-06-30,1.332505392,0.124167996,1
2020-07-01,1.37017481,0.122598738,1
2020-07-02,1.41600304,0.121410902,0
2020-07-03,1.38944211,0.116845208,1
2020-07-04,1.474825166,0.116408048,1
2020-07-05,1.493678827,0.114576502,1
2020-07-06,1.383709312,0.105539007,1
2020-07-07,1.298292451,0.09773283,1
2020-07-08,1.315101528,0.096676858,1
2020-07-09,1.447555573,0.098001201,1
2020-07-10,1.397864624,0.093768647,1
2020-07-11,1.35963212,0.090013312,1
2020-07-12,1.284737195,0.084441456,1
2020-07-13,1.218779966,0.080275287,1
2020-07-14,1.187465235,0.077945454,1
2020-07-15,1.142909716,0.074515546,1
2020-07-16,1.164926087,0.074897444,1
2020-07-17,1.108666339,0.071520902,1
2020-07-18,1.006587588,0.067093909,1
2020-07-19,0.944354947,0.064348332,1
2020-07-20,0.950593809,0.064880349,1
2020-07-21,1.13366182,0.072027342,1
2020-07-22,1.155508204,0.072134071,1
2020-07-23,1.037091917,0.068369173,1
2020-07-24,1.064197704,0.067559187,1
2020-07-25,1.053788929,0.066331309,1
2020-07-26,1.171339472,0.071072425,1
2020-07-27,1.15277702,0.069524638,1
2020-07-28,1.193488198,0.068828428,1
2020-07-29,1.245550179,0.069474154,1
2020-07-30,1.184258598,0.066608532,1
2020-07-31,1.191267992,0.066060553,1
2020-08-01,1.272860009,0.067899707,1
2020-08-02,1.238601929,0.065752424,1
2020-08-03,1.216293042,0.063547388,1
2020-08-04,1.087170611,0.058517352,1
2020-08-05,1.095090146,0.05831802,1
2020-08-06,1.173751021,0.059522244,1
2020-08-07,1.188515555,0.059720659,1
2020-08-08,1.212658487,0.058683434,1
2020-08-09,1.152408926,0.057291988,1
2020-08-10,1.119211068,0.055503787,1
2020-08-11,1.075348626,0.053820306,1
2020-08-12,1.145941509,0.054559148,1
2020-08-13,1.197599319,0.055575596,1
2020-08-14,1.250908594,0.055425165,1
2020-08-15,1.227638461,0.054503289,1
2020-08-16,1.271037882,0.054280509,1
2020-08-17,1.207607228,0.052499303,1
2020-08-18,1.162230892,0.049906871,1
2020-08-19,1.229695732,0.051044324,1
2020-08-20,1.222944005,0.049070881,1
2020-08-21,1.330690478,0.051303143,1
2020-08-22,1.35667427,0.051165954,1
2020-08-23,1.300943954,0.048741095,1
2020-08-24,1.338020602,0.048352261,1
2020-08-25,1.285424623,0.046021406,1
2020-08-26,1.234319578,0.043758429,1
2020-08-27,1.238497555,0.042993081,1
2020-08-28,1.243798182,0.042419174,1
2020-08-29,1.272699671,0.042596591,1
2020-08-30,1.20342826,0.039755801,1
2020-08-31,1.199962712,0.039195321,1
2020-09-01,1.224754495,0.039014361,1
2020-09-02,1.130872894,0.036808525,1
2020-09-03,1.142459022,0.036176597,1
2020-09-04,1.130515941,0.035498626,1
2020-09-05,1.243818384,0.036515268,1
2020-09-06,1.253968409,0.036347839,1
2020-09-07,1.160826114,0.034920531,1
2020-09-08,1.180024916,0.034141837,1
2020-09-09,1.21467303,0.034108179,1
2020-09-10,1.251903571,0.034330145,1
2020-09-11,1.275196682,0.033785207,1
2020-09-12,1.290193172,0.033742071,1
2020-09-13,1.265974872,0.032917883,1
2020-09-14,1.213467771,0.031782845,1
2020-09-15,1.247015557,0.031447321,1
2020-09-16,1.225572127,0.030436884,1
2020-09-17,1.20447718,0.029576951,1
2020-09-18,1.222942129,0.029287464,1
2020-09-19,1.218195746,0.028776249,1
2020-09-20,1.199954271,0.028125121,1
2020-09-21,1.190585941,0.027496326,1
2020-09-22,1.197942484,0.027079416,1
2020-09-23,1.252576889,0.027424335,1
2020-09-24,1.298897426,0.027706385,1
2020-09-25,1.354520499,0.02814734,1
2020-09-26,1.444737909,0.02886043,1
2020-09-27,1.524892779,0.03020055,1
2020-09-28,1.496141058,0.030230075,1
2020-09-29,1.394159374,0.028767575,1
2020-09-30,1.457879653,0.028871084,1
2020-10-01,1.559419556,0.029739941,1
2020-10-02,1.565907243,0.030133656,1
2020-10-03,1.54333318,0.030211808,1
2020-10-04,1.579079286,0.03053304,1
2020-10-05,1.503968197,0.029324283,1
2020-10-06,1.409316669,0.027081917,1
2020-10-07,1.410213546,0.02621667,1
2020-10-08,1.437973336,0.025860302,1
2020-10-09,1.469288645,0.025684976,1
2020-10-10,1.571276415,0.026764961,1
2020-10-11,1.526820563,0.026475681,1
2020-10-12,1.430883416,0.025151638,1
2020-10-13,1.360092364,0.0235576,1
2020-10-14,1.368823946,0.022710675,1
2020-10-15,1.408675159,0.022198363,1
2020-10-16,1.461348912,0.022634698,1
2020-10-17,1.47960268,0.022894767,1
2020-10-18,1.436537676,0.022299554,1
2020-10-19,1.374499973,0.02149417,1
2020-10-20,1.314945063,0.020055703,1
2020-10-21,1.33552867,0.019657148,1
2020-10-22,1.31143748,0.01849242,1
2020-10-23,1.332884065,0.018351732,1
2020-10-24,1.324315238,0.017692011,1
2020-10-25,1.368707108,0.01789716,1
2020-10-26,1.336296297,0.017542456,1
2020-10-27,1.28094781,0.016775091,1
2020-10-28,1.288444204,0.016444803,1
2020-10-29,1.267993613,0.01574369,1
2020-10-30,1.267897544,0.015335061,1
2020-10-31,1.238271952,0.014656745,1
2020-11-01,1.216571046,0.01394853,1
2020-11-02,1.211099059,0.013507567,1
2020-11-03,1.207128812,0.012955386,1
2020-11-04,1.202868485,0.012515953,1
2020-11-05,1.170883205,0.011801305,1
2020-11-06,1.12744209,0.011137368,1
2020-11-07,1.089256716,0.010351101,1
2020-11-08,1.030171459,0.009560803,1
2020-11-09,0.996355368,0.00871273,1
2020-11-10,0.999320411,0.008214807,1
2020-11-11,0.974119382,0.007376121,1
2020-11-12,0.971599398,0.00703406,1
2020-11-13,0.933865505,0.006450441,1
2020-11-14,0.916484308,0.006300124,1
2020-11-15,0.893481477,0.00615989,1
2020-11-16,0.863011755,0.006113231,1
2020-11-17,0.86895458,0.006255133,1
2020-11-18,0.823143562,0.006196041,1
2020-11-19,0.836445005,0.006692971,1
2020-11-20,0.842794419,0.006865253,1
2020-11-21,0.840784789,0.006996832,1
2020-11-22,0.832158871,0.007237121,1
