,Units,Doses,Status,Statupd,Vaccine
2020-12-26,10,9750,Delivered,,Pfizer
2021-01-04,78,76050,Delivered,,Pfizer
2021-01-11,44,42900,Delivered,,Pfizer
2021-01-11,48,4800,Delivered,,Moderna
2021-01-18,40,46800,Delivered,,Pfizer
2021-01-25,27,31590,Delivered,,Pfizer
2021-01-25,60,6000,Delivered,,Moderna
2021-02-01,39,45630,Delivered,,Pfizer
2021-02-05,2160,21600,Delivered,,AstraZeneca
2021-02-08,39,45630,Delivered,,Pfizer
2021-02-08,120,12000,Delivered,,Moderna
2021-02-10,2880,28800,Delivered,,AstraZeneca
2021-02-16,9,10530,Delivered,,Pfizer
2021-02-17,34,39780,Delivered,,Pfizer
2021-02-17,4560,45600,Delivered,,AstraZeneca
2021-02-18,5,5850,Delivered,,Pfizer
2021-02-22,48,56160,Delivered,,Pfizer
2021-02-26,228,22800,Delivered,,Moderna
2021-02-26,4080,40800,Delivered,,AstraZeneca
2021-03-01,44,51480,Delivered,,Pfizer
2021-03-05,6000,60000,Delivered,,AstraZeneca
2021-03-08,129,150930,Delivered,,Pfizer
2021-03-12,300,30000,Delivered,,Moderna
2021-03-12,4620,46200,Delivered,,AstraZeneca
2021-03-15,44,51480,Delivered,,Pfizer
2021-03-18,1200,12000,Delivered,,AstraZeneca
2021-03-22,47,54990,Delivered,,Pfizer
2021-03-25,456,45600,Delivered,,Moderna
2021-03-25,1200,12000,Delivered,,AstraZeneca
2021-03-29,47,54990,Delivered,,Pfizer
2021-04-01,12000,120000,Delivered,,AstraZeneca
2021-04-05,62,72540,Delivered,,Pfizer
2021-04-08,384,38400,Delivered,,Moderna
2021-04-08,1680,16800,Delivered,,AstraZeneca
2021-04-12,63,73710,Delivered,,Pfizer
2021-04-14,0,9600,Delivered,,J&J
2021-04-15,0,0,Delivered,,AstraZeneca
2021-04-19,63,73710,Delivered,,Pfizer
2021-04-19,4080,40800,Delivered,,AstraZeneca
2021-04-25,216,21600,Delivered,2021-04-16,Moderna
2021-04-26,113,132210,Delivered,,Pfizer
2021-04-26,1200,12000,Delivered,,AstraZeneca
2021-04-29,0,25200,Delivered,2021-05-09,Moderna
2021-04-29,0,6500,Delivered,2021-04-30,J&J
2021-04-30,18000,180000,Delivered,2021-05-03,AstraZeneca
2021-05-03,174,203580,Delivered,2021-05-07,Pfizer
2021-05-10,174,203580,Delivered,2021-05-12,Pfizer
2021-05-11,3840,38400,Delivered,2021-05-08,AstraZeneca
2021-05-13,0,36000,Delivered,2021-05-07,Moderna
2021-05-14,0,12000,Delivered,2021-05-13,J&J
2021-05-17,176,205920,Delivered,s,Pfizer
2021-05-18,0,28800,Confirmed,2021-05-08,AstraZeneca
2021-05-20,0,36000,Confirmed,2021-05-17,Moderna
2021-05-21,0,11600,Confirmed,2021-05-17,J&J
2021-05-24,176,205920,Confirmed,2021-05-18,Pfizer
2021-05-25,0,192671,Assumption,2021-05-08,AstraZeneca
2021-05-26,0,36000,Delivered,2021-05-09,Moderna
2021-05-27,0,36000,Planned,2021-05-14,Moderna
2021-05-28,0,50000,Assumption,,J&J
2021-05-31,195,228150,Planned,2021-04-15,Pfizer
2021-06-01,0,50000,Assumption,,AstraZeneca
2021-06-03,0,36000,Planned,2021-05-14,Moderna
2021-06-04,0,50000,Assumption,,J&J
2021-06-07,196,229320,Planned,2021-04-15,Pfizer
2021-06-08,0,50000,Assumption,,AstraZeneca
2021-06-10,0,36000,Planned,2021-05-14,Moderna
2021-06-11,0,50000,Assumption,,J&J
2021-06-14,196,229320,Planned,2021-04-15,Pfizer
2021-06-15,0,50000,Assumption,,AstraZeneca
2021-06-17,0,38400,Planned,2021-05-14,Moderna
2021-06-18,0,50000,Assumption,,J&J
2021-06-21,196,229320,Planned,2021-04-15,Pfizer
2021-06-22,0,50000,Assumption,,AstraZeneca
2021-06-24,0,40800,Planned,2021-05-14,Moderna
2021-06-25,0,50000,Assumption,,J&J
2021-06-29,0,50000,Assumption,,AstraZeneca
2021-07-01,0,40800,Planned,2021-05-14,Moderna
2021-07-08,0,48000,Planned,2021-05-14,Moderna
2021-07-15,0,48000,Planned,2021-05-14,Moderna
2021-07-22,0,48000,Planned,2021-05-14,Moderna
2021-07-29,0,48000,Planned,2021-05-14,Moderna
2024-04-23,0,-10000,Planned,,Moderna
