,HY_share
2020-10-03,0.34210643
2020-10-10,0.363075684
2020-10-17,0.375565124
2020-10-24,0.373854447
2020-10-31,0.345108783
2020-11-07,0.346349353
2020-11-14,0.339053254
2020-11-21,0.315852995
2020-11-28,0.320549738
2020-12-05,0.358453608
2020-12-12,0.334161332
2020-12-19,0.34302665
2020-12-26,0.368538667
2021-01-02,0.408082386
2021-01-09,0.399495644
2021-01-16,0.385736359
2021-01-23,0.44560357
2021-01-30,0.417123914
2021-02-06,0.435116592
2021-02-13,0.435116592
2021-02-20,0.435116592
2021-02-27,0.435116592
