,pfizer,moderna,astra,curevac,jj,sum_doses,sum_vac
12/31/2021,2406086,962917,3638830,275400,1203043,8486276,4844659.5
11/30/2021,2406086,962917,3638830,231600,1153216.369,8392649.369,4772932.869
10/31/2021,2406086,962917,3638830,187800,1103389.738,8299022.738,4701206.238
9/30/2021,2406086,962917,3638830,144000,1053563.106,8205396.106,4629479.606
8/31/2021,2105678.229,822617.7725,3638830,109200,813434.763,7489760.765,4151597.764
7/31/2021,1805270.458,682318.5451,3638830,74400,573306.4197,6774125.423,3673715.921
6/30/2021,1504862.687,542019.3176,2911064,39600,333178.0763,5330724.081,2831951.079
5/31/2021,1216471.227,401720.0901,2425886.667,26400,222118.7176,4292596.702,2257357.71
4/30/2021,928079.7673,261420.8627,1334237.667,13200,111059.3588,2647997.655,1379528.507
3/31/2021,639688.3073,121121.6352,727766,0,0,1488575.943,744287.9713
