,pfizer,moderna,astra,curevac,johnson,,,,
2021-12-31,2406086,962917,3638830,275400,1203043,,,,
2021-11-30,2406086,962917,3638830,231600,1153216.369,,,,
2021-10-31,2406086,962917,3638830,187800,1103389.738,,,,
2021-09-30,2406086,962917,3638830,144000,1053563.106,,,,
2021-08-31,2105678.229,822617.7725,3638830,109200,813434.763,,,,
2021-07-31,1805270.458,682318.5451,3638830,74400,573306.4197,,,,
2021-06-30,1504862.687,542019.3176,2911064,39600,333178.0763,,,,
2021-05-31,1216471.227,401720.0901,2425886.667,26400,222118.7176,,,,
2021-04-30,928079.7673,261420.8627,1334237.667,13200,111059.3588,,,,
2021-03-31,639688.3073,121121.6352,727766,0,0,,,,
2021-03-08,613080,78960,196800,0,0,,,,
2021-03-05,462150,78960,196800,0,0,,,,
2021-03-01,462150,78960,136800,0,0,,,,
2021-02-26,410670,78960,136800,0,0,,,,
2021-02-22,410670,22800,96000,0,0,,,,
2021-02-18,354510,22800,96000,0,0,,,,
2021-02-17,348660,22800,96000,0,0,,,,
2021-02-16,308880,22800,50400,0,0,,,,
2021-02-10,298350,22800,50400,0,0,,,,
2021-02-08,298350,22800,21600,0,0,,,,
2021-02-05,252720,10800,21600,0,0,,,,
2021-02-01,252720,10800,0,0,0,,,,
2021-01-25,207090,10800,0,0,0,,,,
2021-01-18,175500,4800,0,0,0,,,,
2021-01-11,128700,4800,0,0,0,,,,
2021-01-04,85800,0,0,0,0,,,,
2020-12-26,9750,0,0,0,0,,,,
