Date,Units,Doses,Status,Statupd,Vaccine
2021-02-05,2160,21600,Delivered,,AstraZeneca
2021-02-10,2880,28800,Delivered,,AstraZeneca
2021-02-17,4560,45600,Delivered,,AstraZeneca
2021-02-26,4080,40800,Delivered,,AstraZeneca
2021-03-05,6000,60000,Delivered,,AstraZeneca
2021-03-12,4620,46200,Delivered,,AstraZeneca
2021-03-18,1200,12000,Delivered,,AstraZeneca
2021-03-25,1200,12000,Delivered,,AstraZeneca
2021-04-01,12000,120000,Delivered,,AstraZeneca
2021-04-08,1680,16800,Delivered,,AstraZeneca
2021-04-15,0,0,Delivered,,AstraZeneca
2021-04-19,4080,40800,Delivered,,AstraZeneca
2021-04-26,1200,12000,Delivered,,AstraZeneca
2021-04-30,18000,180000,Delivered,2021-05-03,AstraZeneca
2021-05-11,3840,38400,Delivered,2021-05-08,AstraZeneca
2021-05-18,0,28800,Confirmed,2021-05-08,AstraZeneca
2021-05-25,0,192671,Assumption,2021-05-08,AstraZeneca
2021-06-01,0,50000,Assumption,,AstraZeneca
2021-06-08,0,50000,Assumption,,AstraZeneca
2021-06-15,0,50000,Assumption,,AstraZeneca
2021-06-22,0,50000,Assumption,,AstraZeneca
2021-06-29,0,50000,Assumption,,AstraZeneca
