Date,Units,Doses,Status,Statupd,Vaccine
2021-01-11,48,4800,Delivered,,Moderna
2021-01-25,60,6000,Delivered,,Moderna
2021-02-08,120,12000,Delivered,,Moderna
2021-02-26,228,22800,Delivered,,Moderna
2021-03-12,300,30000,Delivered,,Moderna
2021-03-25,456,45600,Delivered,,Moderna
2021-04-08,384,38400,Delivered,,Moderna
2021-04-25,216,21600,Delivered,2021-04-16,Moderna
2021-04-29,0,25200,Delivered,2021-05-09,Moderna
2021-05-13,0,36000,Delivered,2021-05-07,Moderna
2021-05-20,0,36000,Confirmed,2021-05-17,Moderna
2021-05-26,0,36000,Delivered,2021-05-09,Moderna
2021-05-27,0,36000,Planned,2021-05-14,Moderna
2021-06-03,0,36000,Planned,2021-05-14,Moderna
2021-06-10,0,36000,Planned,2021-05-14,Moderna
2021-06-17,0,38400,Planned,2021-05-14,Moderna
2021-06-24,0,40800,Planned,2021-05-14,Moderna
2021-07-01,0,40800,Planned,2021-05-14,Moderna
2021-07-08,0,48000,Planned,2021-05-14,Moderna
2021-07-15,0,48000,Planned,2021-05-14,Moderna
2021-07-22,0,48000,Planned,2021-05-14,Moderna
2021-07-29,0,48000,Planned,2021-05-14,Moderna
