Date,Units,Doses,Status,Statupd,Vaccine
2020-12-26,10,9750,Delivered,,Pfizer
2021-01-04,78,76050,Delivered,,Pfizer
2021-01-11,44,42900,Delivered,,Pfizer
2021-01-18,40,46800,Delivered,,Pfizer
2021-01-25,27,31590,Delivered,,Pfizer
2021-02-01,39,45630,Delivered,,Pfizer
2021-02-08,39,45630,Delivered,,Pfizer
2021-02-16,9,10530,Delivered,,Pfizer
2021-02-17,34,39780,Delivered,,Pfizer
2021-02-18,5,5850,Delivered,,Pfizer
2021-02-22,48,56160,Delivered,,Pfizer
2021-03-01,44,51480,Delivered,,Pfizer
2021-03-08,129,150930,Delivered,,Pfizer
2021-03-15,44,51480,Delivered,,Pfizer
2021-03-22,47,54990,Delivered,,Pfizer
2021-03-29,47,54990,Delivered,,Pfizer
2021-04-05,62,72540,Delivered,,Pfizer
2021-04-12,63,73710,Delivered,,Pfizer
2021-04-19,63,73710,Delivered,,Pfizer
2021-04-26,113,132210,Delivered,,Pfizer
2021-05-03,174,203580,Delivered,2021-05-07,Pfizer
2021-05-10,174,203580,Delivered,2021-05-12,Pfizer
2021-05-17,176,205920,Delivered,2021-05-19,Pfizer
2021-05-24,176,205920,Confirmed,2021-05-18,Pfizer
2021-05-31,195,228150,Planned,2021-04-15,Pfizer
2021-06-07,196,229320,Planned,2021-04-15,Pfizer
2021-06-14,196,229320,Planned,2021-04-15,Pfizer
2021-06-21,196,229320,Planned,2021-04-15,Pfizer
