"Date";"Region";"Region_code";"Vaccine_name";"first_dose";"second_dose"
2021-05-23;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";2687;3
2021-05-23;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";3623;6
2021-05-23;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-23;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2146;3
2021-05-23;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1830
2021-05-23;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";273;1337
2021-05-23;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";4506;7
2021-05-23;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;953
2021-05-23;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1516;260
2021-05-23;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1970
2021-05-23;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";0;0
2021-05-23;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";14;1279
2021-05-22;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";1217;2
2021-05-22;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1679
2021-05-22;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";4051;6
2021-05-22;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-22;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";711;14
2021-05-22;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";1927;7
2021-05-22;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1900
2021-05-22;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";248;632
2021-05-22;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";1250;1
2021-05-22;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";1193;4944
2021-05-22;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";239;65
2021-05-22;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";2374;346
2021-05-22;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;2109
2021-05-22;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";1863;3
2021-05-22;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;2032
2021-05-21;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";3881;196
2021-05-21;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;310
2021-05-21;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";202;215
2021-05-21;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";5327;828
2021-05-21;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;198
2021-05-21;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";798;597
