"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2020-Mar-06",1.08395202e+00,1.09129886e+00
"2020-Mar-07",7.93367458e-01,7.97646405e-01
"2020-Mar-08",1.07883848e+00,1.08462303e+00
"2020-Mar-09",1.32236407e+00,1.32935908e+00
"2020-Mar-10",1.46945605e+00,1.47741617e+00
"2020-Mar-11",1.56981150e+00,1.57858012e+00
"2020-Mar-12",1.61212873e+00,1.62142025e+00
"2020-Mar-13",1.61339728e+00,1.62291807e+00
"2020-Mar-14",1.59124207e+00,1.60082191e+00
"2020-Mar-15",1.55421934e+00,1.56370157e+00
"2020-Mar-16",1.51021439e+00,1.51953059e+00
"2020-Mar-17",1.46442068e+00,1.47351636e+00
"2020-Mar-18",1.41971761e+00,1.42858724e+00
"2020-Mar-19",1.37793652e+00,1.38657280e+00
"2020-Mar-20",1.33989966e+00,1.34832190e+00
"2020-Mar-21",1.30575852e+00,1.31397578e+00
"2020-Mar-22",1.27518208e+00,1.28321641e+00
"2020-Mar-23",1.24753586e+00,1.25539609e+00
"2020-Mar-24",1.22200336e+00,1.22970445e+00
"2020-Mar-25",1.19776526e+00,1.20530974e+00
"2020-Mar-26",1.17408131e+00,1.18147599e+00
"2020-Mar-27",1.15041578e+00,1.15765837e+00
"2020-Mar-28",1.12647821e+00,1.13357167e+00
"2020-Mar-29",1.10230620e+00,1.10924887e+00
"2020-Mar-30",1.07827948e+00,1.08507738e+00
"2020-Mar-31",1.05513083e+00,1.06178994e+00
"2020-Apr-01",1.03388397e+00,1.04042011e+00
"2020-Apr-02",1.01577681e+00,1.02220866e+00
"2020-Apr-03",1.00210737e+00,1.00846328e+00
"2020-Apr-04",9.94070365e-01,1.00038064e+00
"2020-Apr-05",9.92515363e-01,9.98815669e-01
"2020-Apr-06",9.97687021e-01,1.00400895e+00
"2020-Apr-07",1.00896764e+00,1.01533915e+00
"2020-Apr-08",1.02475024e+00,1.03118619e+00
"2020-Apr-09",1.04250485e+00,1.04900840e+00
"2020-Apr-10",1.05910036e+00,1.06565775e+00
"2020-Apr-11",1.07125813e+00,1.07784398e+00
"2020-Apr-12",1.07604896e+00,1.08262528e+00
"2020-Apr-13",1.07130405e+00,1.07782726e+00
"2020-Apr-14",1.05587209e+00,1.06229385e+00
"2020-Apr-15",1.02964597e+00,1.03591993e+00
"2020-Apr-16",9.93407385e-01,9.99490161e-01
"2020-Apr-17",9.48551870e-01,9.54408146e-01
"2020-Apr-18",8.96833666e-01,9.02436230e-01
"2020-Apr-19",8.40178029e-01,8.45511166e-01
"2020-Apr-20",7.80550683e-01,7.85609436e-01
"2020-Apr-21",7.19854081e-01,7.24645995e-01
"2020-Apr-22",6.59874471e-01,6.64418025e-01
"2020-Apr-23",6.02262624e-01,6.06587978e-01
"2020-Apr-24",5.48553601e-01,5.52701060e-01
"2020-Apr-25",5.00175548e-01,5.04196320e-01
"2020-Apr-26",4.58416925e-01,4.62371813e-01
"2020-Apr-27",4.24363810e-01,4.28323489e-01
"2020-Apr-28",3.98826325e-01,4.02869006e-01
"2020-Apr-29",3.82229633e-01,3.86438363e-01
"2020-Apr-30",3.74487518e-01,3.78942087e-01
"2020-May-01",3.74872861e-01,3.79638932e-01
"2020-May-02",3.81966294e-01,3.87080337e-01
"2020-May-03",3.93756616e-01,3.99216048e-01
"2020-May-04",4.07890460e-01,4.13651108e-01
"2020-May-05",4.21996892e-01,4.27983921e-01
"2020-May-06",4.34015321e-01,4.40139420e-01
"2020-May-07",4.42433698e-01,4.48610438e-01
"2020-May-08",4.46411147e-01,4.52572701e-01
"2020-May-09",4.45765505e-01,4.51868053e-01
"2020-May-10",4.40864351e-01,4.46886568e-01
"2020-May-11",4.32472944e-01,4.38414122e-01
"2020-May-12",4.21620457e-01,4.27494894e-01
"2020-May-13",4.09491243e-01,4.15326281e-01
"2020-May-14",3.97340485e-01,4.03172586e-01
"2020-May-15",3.86403413e-01,3.92277658e-01
"2020-May-16",3.77805837e-01,3.83772262e-01
"2020-May-17",3.72469533e-01,3.78581323e-01
"2020-May-18",3.71022708e-01,3.77329655e-01
"2020-May-19",3.73704385e-01,3.80247198e-01
"2020-May-20",3.80291228e-01,3.87091425e-01
"2020-May-21",3.90084278e-01,3.97138552e-01
"2020-May-22",4.02013147e-01,4.09289378e-01
"2020-May-23",4.14843661e-01,4.22287688e-01
"2020-May-24",4.27448382e-01,4.34993412e-01
"2020-May-25",4.39063582e-01,4.46646126e-01
"2020-May-26",4.49496836e-01,4.57067066e-01
"2020-May-27",4.59233691e-01,4.66765578e-01
"2020-May-28",4.69434272e-01,4.76925739e-01
"2020-May-29",4.81790018e-01,4.89261909e-01
"2020-May-30",4.98277018e-01,5.05762351e-01
"2020-May-31",5.20821700e-01,5.28355412e-01
"2020-Jun-01",5.50921753e-01,5.58522878e-01
"2020-Jun-02",5.89263018e-01,5.96922930e-01
"2020-Jun-03",6.35458848e-01,6.43131602e-01
"2020-Jun-04",6.88009053e-01,6.95620171e-01
"2020-Jun-05",7.44586761e-01,7.52049900e-01
"2020-Jun-06",8.02592825e-01,8.09838242e-01
"2020-Jun-07",8.59804259e-01,8.66795761e-01
"2020-Jun-08",9.14867139e-01,9.21611743e-01
"2020-Jun-09",9.67476861e-01,9.74015685e-01
"2020-Jun-10",1.01819206e+00,1.02458988e+00
"2020-Jun-11",1.06805030e+00,1.07437943e+00
"2020-Jun-12",1.11807475e+00,1.12440705e+00
"2020-Jun-13",1.16876036e+00,1.17515781e+00
"2020-Jun-14",1.21967559e+00,1.22618746e+00
"2020-Jun-15",1.26933455e+00,1.27599226e+00
"2020-Jun-16",1.31543219e+00,1.32224912e+00
"2020-Jun-17",1.35538934e+00,1.36235951e+00
"2020-Jun-18",1.38691243e+00,1.39401383e+00
"2020-Jun-19",1.40841313e+00,1.41561029e+00
"2020-Jun-20",1.41924766e+00,1.42649772e+00
"2020-Jun-21",1.41975569e+00,1.42701319e+00
"2020-Jun-22",1.41111482e+00,1.41833744e+00
"2020-Jun-23",1.39504128e+00,1.40219279e+00
"2020-Jun-24",1.37341835e+00,1.38047062e+00
"2020-Jun-25",1.34801638e+00,1.35494893e+00
"2020-Jun-26",1.32033861e+00,1.32713794e+00
"2020-Jun-27",1.29154488e+00,1.29820278e+00
"2020-Jun-28",1.26241573e+00,1.26892779e+00
"2020-Jun-29",1.23334813e+00,1.23971178e+00
"2020-Jun-30",1.20441440e+00,1.21062766e+00
"2020-Jul-01",1.17549916e+00,1.18155967e+00
"2020-Jul-02",1.14644924e+00,1.15235437e+00
"2020-Jul-03",1.11718948e+00,1.12293664e+00
"2020-Jul-04",1.08780281e+00,1.09339039e+00
"2020-Jul-05",1.05859670e+00,1.06402503e+00
"2020-Jul-06",1.03016584e+00,1.03543854e+00
"2020-Jul-07",1.00342123e+00,1.00854649e+00
"2020-Jul-08",9.79544779e-01,9.84536350e-01
"2020-Jul-09",9.59875153e-01,9.64752532e-01
"2020-Jul-10",9.45751238e-01,9.50539114e-01
"2020-Jul-11",9.38326928e-01,9.43053599e-01
"2020-Jul-12",9.38349089e-01,9.43044070e-01
"2020-Jul-13",9.45908555e-01,9.50599311e-01
"2020-Jul-14",9.60234275e-01,9.64942841e-01
"2020-Jul-15",9.79639281e-01,9.84379520e-01
"2020-Jul-16",1.00168793e+00,1.00646442e+00
