"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Aug-22",4.62562902e+00,4.69689387e+00,4.77996772e+00,4.83657002e+00,4.88187444e+00,4.92096712e+00,4.95625142e+00,4.98909809e+00,5.02040048e+00,5.05081039e+00,5.08085789e+00,5.11102432e+00,5.14179875e+00,5.17373601e+00,5.20753570e+00,5.24417535e+00,5.28517659e+00,5.33323674e+00,5.39411848e+00,5.48519962e+00,5.56501918e+00,5.08085789e+00,5.08462378e+00,2.39691464e-01
"2020-Aug-23",3.40745127e+00,3.45700559e+00,3.51473583e+00,3.55404885e+00,3.58550268e+00,3.61263520e+00,3.63711770e+00,3.65990309e+00,3.68161213e+00,3.70269752e+00,3.72352709e+00,3.74443464e+00,3.76575900e+00,3.78788426e+00,3.81129444e+00,3.83666548e+00,3.86504923e+00,3.89830969e+00,3.94042828e+00,4.00340806e+00,4.05857084e+00,3.72352709e+00,3.72599598e+00,1.66133949e-01
"2020-Aug-24",2.10025242e+00,2.13334241e+00,2.17192517e+00,2.19821929e+00,2.21926839e+00,2.23743375e+00,2.25383128e+00,2.26909754e+00,2.28364743e+00,2.29778375e+00,2.31175281e+00,2.32577838e+00,2.34008788e+00,2.35493937e+00,2.37065837e+00,2.38769978e+00,2.40677183e+00,2.42913007e+00,2.45745719e+00,2.49984392e+00,2.53699792e+00,2.31175281e+00,2.31354185e+00,1.11439390e-01
"2020-Aug-25",1.68539582e+00,1.71182263e+00,1.74263451e+00,1.76363179e+00,1.78044005e+00,1.79494518e+00,1.80803837e+00,1.82022799e+00,1.83184537e+00,1.84313232e+00,1.85428551e+00,1.86548362e+00,1.87690819e+00,1.88876526e+00,1.90131469e+00,1.91491959e+00,1.93014529e+00,1.94799398e+00,1.97060694e+00,2.00444196e+00,2.03409857e+00,1.85428551e+00,1.85570732e+00,8.89743557e-02
"2020-Aug-26",1.31699797e+00,1.33851203e+00,1.36360771e+00,1.38071664e+00,1.39441635e+00,1.40624172e+00,1.41691824e+00,1.42685986e+00,1.43633645e+00,1.44554506e+00,1.45464603e+00,1.46378513e+00,1.47311057e+00,1.48279064e+00,1.49303771e+00,1.50414864e+00,1.51658572e+00,1.53116866e+00,1.54964919e+00,1.57731125e+00,1.60156714e+00,1.45464603e+00,1.45585303e+00,7.26113494e-02
"2020-Aug-27",1.20946447e+00,1.22894669e+00,1.25166859e+00,1.26715698e+00,1.27955780e+00,1.29026109e+00,1.29992384e+00,1.30892088e+00,1.31749654e+00,1.32582921e+00,1.33406402e+00,1.34233285e+00,1.35076981e+00,1.35952712e+00,1.36879682e+00,1.37884735e+00,1.39009669e+00,1.40328594e+00,1.41999870e+00,1.44501152e+00,1.46694127e+00,1.33406402e+00,1.33514146e+00,6.56980162e-02
"2020-Aug-28",1.32729694e+00,1.34692549e+00,1.36979654e+00,1.38537363e+00,1.39783804e+00,1.40859099e+00,1.41829447e+00,1.42732596e+00,1.43593139e+00,1.44429013e+00,1.45254797e+00,1.46083723e+00,1.46929226e+00,1.47806539e+00,1.48734862e+00,1.49741012e+00,1.50866722e+00,1.52185957e+00,1.53856709e+00,1.56355330e+00,1.58544163e+00,1.45254797e+00,1.45354275e+00,6.58663090e-02
"2020-Aug-29",1.15091754e+00,1.16858818e+00,1.18918617e+00,1.20322013e+00,1.21445262e+00,1.22414483e+00,1.23289267e+00,1.24103605e+00,1.24879645e+00,1.25633549e+00,1.26378459e+00,1.27126307e+00,1.27889218e+00,1.28680945e+00,1.29518830e+00,1.30427104e+00,1.31443482e+00,1.32634822e+00,1.34143956e+00,1.36401605e+00,1.38380044e+00,1.26378459e+00,1.26471509e+00,5.94214983e-02
"2020-Aug-30",1.12299062e+00,1.13998143e+00,1.15978381e+00,1.17327379e+00,1.18406981e+00,1.19338463e+00,1.20179125e+00,1.20961648e+00,1.21707324e+00,1.22431688e+00,1.23147370e+00,1.23865835e+00,1.24598731e+00,1.25359266e+00,1.26164094e+00,1.27036478e+00,1.28012629e+00,1.29156729e+00,1.30605886e+00,1.32773534e+00,1.34672837e+00,1.23147370e+00,1.23235510e+00,5.70877476e-02
"2020-Aug-31",1.04561571e+00,1.06165125e+00,1.08034304e+00,1.09307810e+00,1.10327091e+00,1.11206594e+00,1.12000399e+00,1.12739348e+00,1.13443542e+00,1.14127646e+00,1.14803585e+00,1.15482188e+00,1.16174456e+00,1.16892869e+00,1.17653162e+00,1.18477321e+00,1.19399569e+00,1.20480567e+00,1.21849917e+00,1.23898427e+00,1.25693574e+00,1.14803585e+00,1.14887927e+00,5.39195757e-02
"2020-Sep-01",1.16093423e+00,1.17755517e+00,1.19691526e+00,1.21009718e+00,1.22064279e+00,1.22973881e+00,1.23794584e+00,1.24558345e+00,1.25285983e+00,1.25992676e+00,1.26690756e+00,1.27391409e+00,1.28105990e+00,1.28847367e+00,1.29631753e+00,1.30481785e+00,1.31432690e+00,1.32546885e+00,1.33957687e+00,1.36066979e+00,1.37914205e+00,1.26690756e+00,1.26772252e+00,5.56757010e-02
"2020-Sep-02",1.24525241e+00,1.26219087e+00,1.28191077e+00,1.29533161e+00,1.30606488e+00,1.31532033e+00,1.32366928e+00,1.33143735e+00,1.33883658e+00,1.34602149e+00,1.35311754e+00,1.36023850e+00,1.36749971e+00,1.37503183e+00,1.38299939e+00,1.39163205e+00,1.40128701e+00,1.41259712e+00,1.42691377e+00,1.44830981e+00,1.46703904e+00,1.35311754e+00,1.35390585e+00,5.65879317e-02
"2020-Sep-03",1.29175580e+00,1.30868317e+00,1.32838316e+00,1.34178622e+00,1.35250286e+00,1.36174226e+00,1.37007540e+00,1.37782762e+00,1.38521075e+00,1.39237910e+00,1.39945791e+00,1.40656067e+00,1.41380242e+00,1.42131341e+00,1.42925756e+00,1.43786363e+00,1.44748739e+00,1.45875900e+00,1.47302389e+00,1.49433646e+00,1.51298669e+00,1.39945791e+00,1.40021631e+00,5.64455336e-02
"2020-Sep-04",1.49217029e+00,1.50996828e+00,1.53066412e+00,1.54473425e+00,1.55597823e+00,1.56566806e+00,1.57440412e+00,1.58252837e+00,1.59026333e+00,1.59777095e+00,1.60518259e+00,1.61261712e+00,1.62019489e+00,1.62805200e+00,1.63635963e+00,1.64535647e+00,1.65541354e+00,1.66718778e+00,1.68208135e+00,1.70431796e+00,1.72376211e+00,1.60518259e+00,1.60590723e+00,5.90876487e-02
"2020-Sep-05",1.63647490e+00,1.65457901e+00,1.67561781e+00,1.68991326e+00,1.70133282e+00,1.71117080e+00,1.72003792e+00,1.72828198e+00,1.73612912e+00,1.74374392e+00,1.75125970e+00,1.75879704e+00,1.76647793e+00,1.77444019e+00,1.78285704e+00,1.79196991e+00,1.80215394e+00,1.81407317e+00,1.82914457e+00,1.85163528e+00,1.87129060e+00,1.75125970e+00,1.75194253e+00,5.99092104e-02
