"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Aug-22",7.60140338e-01,8.02609718e-01,8.53550101e-01,8.89132437e-01,9.18117844e-01,9.43487320e-01,9.66668384e-01,9.88487876e-01,1.00949554e+00,1.03010314e+00,1.05065664e+00,1.07148195e+00,1.09292252e+00,1.11538090e+00,1.13937795e+00,1.16565565e+00,1.19538525e+00,1.23066514e+00,1.27602011e+00,1.34523872e+00,1.40722529e+00,1.05065664e+00,1.05925592e+00,1.65427982e-01
"2020-Aug-23",1.14394953e+00,1.19173008e+00,1.24847718e+00,1.28777894e+00,1.31960320e+00,1.34732374e+00,1.37254857e+00,1.39620405e+00,1.41890176e+00,1.44109562e+00,1.46316278e+00,1.48545417e+00,1.50833522e+00,1.53222976e+00,1.55768176e+00,1.58546146e+00,1.61677945e+00,1.65379755e+00,1.70116394e+00,1.77299746e+00,1.83689096e+00,1.46316278e+00,1.47025935e+00,1.76998426e-01
"2020-Aug-24",3.68850095e-01,3.93999184e-01,4.24424425e-01,4.45833109e-01,4.63361928e-01,4.78766783e-01,4.92892022e-01,5.06229068e-01,5.19106677e-01,5.31773073e-01,5.44438803e-01,5.57304278e-01,5.70582817e-01,5.84526531e-01,5.99463784e-01,6.15864544e-01,6.34473218e-01,6.56626899e-01,6.85215239e-01,7.29066445e-01,7.68547964e-01,5.44438803e-01,5.50756235e-01,1.02272865e-01
"2020-Aug-25",1.23572405e+00,1.28176471e+00,1.33627203e+00,1.37391859e+00,1.40434333e+00,1.43080322e+00,1.45484833e+00,1.47737007e+00,1.49895565e+00,1.52003961e+00,1.54098172e+00,1.56211537e+00,1.58378635e+00,1.60639430e+00,1.63045068e+00,1.65667826e+00,1.68621129e+00,1.72107295e+00,1.76560905e+00,1.83300522e+00,1.89281265e+00,1.54098172e+00,1.54704432e+00,1.67800516e-01
"2020-Aug-26",1.28505719e+00,1.33119069e+00,1.38575566e+00,1.42341063e+00,1.45382424e+00,1.48026188e+00,1.50427690e+00,1.52676214e+00,1.54830536e+00,1.56934115e+00,1.59022888e+00,1.61130119e+00,1.63290267e+00,1.65543114e+00,1.67939531e+00,1.70551355e+00,1.73491276e+00,1.76960224e+00,1.81389674e+00,1.88088298e+00,1.94028410e+00,1.59022888e+00,1.59607147e+00,1.67313752e-01
"2020-Aug-27",1.39932709e+00,1.44630018e+00,1.50176684e+00,1.53998920e+00,1.57082979e+00,1.59761658e+00,1.62193153e+00,1.64468307e+00,1.66646856e+00,1.68772901e+00,1.70882841e+00,1.73010299e+00,1.75190029e+00,1.77462079e+00,1.79877586e+00,1.82508681e+00,1.85468422e+00,1.88958276e+00,1.93410636e+00,2.00136169e+00,2.06092710e+00,1.70882841e+00,1.71437334e+00,1.68922225e-01
"2020-Aug-28",1.47384714e+00,1.52046586e+00,1.57543876e+00,1.61327561e+00,1.64377931e+00,1.67025536e+00,1.69427399e+00,1.71673628e+00,1.73823416e+00,1.75920411e+00,1.78000579e+00,1.80097085e+00,1.82244149e+00,1.84481144e+00,1.86858276e+00,1.89446301e+00,1.92356046e+00,1.95784897e+00,2.00156296e+00,2.06753131e+00,2.12589534e+00,1.78000579e+00,1.78517754e+00,1.66468664e-01
"2020-Aug-29",3.47918071e-01,3.69194604e-01,3.94809257e-01,4.12757937e-01,4.27411215e-01,4.40259148e-01,4.52016552e-01,4.63098312e-01,4.73781004e-01,4.84272504e-01,4.94748179e-01,5.05373978e-01,5.16325552e-01,5.27809513e-01,5.40093983e-01,5.53561695e-01,5.68817728e-01,5.86947353e-01,6.10293066e-01,6.46001281e-01,6.78054433e-01,4.94748179e-01,4.99497156e-01,8.44304294e-02
"2020-Aug-30",4.16888042e-01,4.39863437e-01,4.67406929e-01,4.86637559e-01,5.02297866e-01,5.16001054e-01,5.28519444e-01,5.40300247e-01,5.51640685e-01,5.62763280e-01,5.73854871e-01,5.85091355e-01,5.96657996e-01,6.08771794e-01,6.21713430e-01,6.35882603e-01,6.51910133e-01,6.70925988e-01,6.95366371e-01,7.32654026e-01,7.66034225e-01,5.73854871e-01,5.78439124e-01,8.92550946e-02
"2020-Aug-31",7.95020341e-01,8.27213489e-01,8.65413770e-01,8.91849849e-01,9.13244504e-01,9.31872086e-01,9.48816158e-01,9.64700625e-01,9.79937134e-01,9.94830971e-01,1.00963551e+00,1.02458627e+00,1.03992820e+00,1.05594512e+00,1.07300105e+00,1.09161107e+00,1.11258446e+00,1.13736590e+00,1.16906078e+00,1.21709879e+00,1.25979927e+00,1.00963551e+00,1.01426307e+00,1.18710514e-01
"2020-Sep-01",1.06884837e+00,1.10661477e+00,1.15126561e+00,1.18206818e+00,1.20694104e+00,1.22855797e+00,1.24819065e+00,1.26656988e+00,1.28417659e+00,1.30136626e+00,1.31843271e+00,1.33564776e+00,1.35329287e+00,1.37169279e+00,1.39126269e+00,1.41258867e+00,1.43658995e+00,1.46490530e+00,1.50105335e+00,1.55570461e+00,1.60415291e+00,1.31843271e+00,1.32313658e+00,1.36687500e-01
"2020-Sep-02",1.12940204e+00,1.16819769e+00,1.21403360e+00,1.24563457e+00,1.27114123e+00,1.29330132e+00,1.31342130e+00,1.33225165e+00,1.35028602e+00,1.36788907e+00,1.38536196e+00,1.40298306e+00,1.42104032e+00,1.43986579e+00,1.45988361e+00,1.48169235e+00,1.50623041e+00,1.53517037e+00,1.57210257e+00,1.62791234e+00,1.67736166e+00,1.38536196e+00,1.39005330e+00,1.39912295e-01
"2020-Sep-03",1.17665207e+00,1.21580081e+00,1.26201863e+00,1.29386174e+00,1.31955175e+00,1.34186264e+00,1.36211288e+00,1.38105952e+00,1.39920029e+00,1.41690260e+00,1.43446959e+00,1.45218124e+00,1.47032683e+00,1.48923966e+00,1.50934521e+00,1.53124358e+00,1.55587525e+00,1.58491598e+00,1.62196214e+00,1.67791413e+00,1.72746064e+00,1.43446959e+00,1.43904815e+00,1.40632586e-01
"2020-Sep-04",1.21034836e+00,1.24927985e+00,1.29520530e+00,1.32682541e+00,1.35232319e+00,1.37445848e+00,1.39454254e+00,1.41332799e+00,1.43130935e+00,1.44885140e+00,1.46625488e+00,1.48379721e+00,1.50176479e+00,1.52048727e+00,1.54038520e+00,1.56205137e+00,1.58641446e+00,1.61512876e+00,1.65174352e+00,1.70701339e+00,1.75592647e+00,1.46625488e+00,1.47065008e+00,1.39290079e-01
"2020-Sep-05",1.23084230e+00,1.26912417e+00,1.31424938e+00,1.34529811e+00,1.37032349e+00,1.39204050e+00,1.41173862e+00,1.43015767e+00,1.44778351e+00,1.46497430e+00,1.48202503e+00,1.49920758e+00,1.51680236e+00,1.53513184e+00,1.55460709e+00,1.57580729e+00,1.59963941e+00,1.62771862e+00,1.66350942e+00,1.71750654e+00,1.76526542e+00,1.48202503e+00,1.48619795e+00,1.36435644e-01
