"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2020-Mar-06",1.08806099e+00,1.09932345e+00
"2020-Mar-07",7.84940977e-01,7.91310876e-01
"2020-Mar-08",1.07924361e+00,1.08615617e+00
"2020-Mar-09",1.33220694e+00,1.33979627e+00
"2020-Mar-10",1.48484742e+00,1.49304501e+00
"2020-Mar-11",1.58865790e+00,1.59718123e+00
"2020-Mar-12",1.63250436e+00,1.64105772e+00
"2020-Mar-13",1.63461357e+00,1.64300307e+00
"2020-Mar-14",1.61322448e+00,1.62134378e+00
"2020-Mar-15",1.57695564e+00,1.58473490e+00
"2020-Mar-16",1.53381550e+00,1.54121629e+00
"2020-Mar-17",1.48898041e+00,1.49598814e+00
"2020-Mar-18",1.44533007e+00,1.45194634e+00
"2020-Mar-19",1.40465547e+00,1.41089359e+00
"2020-Mar-20",1.36776893e+00,1.37364935e+00
"2020-Mar-21",1.33477990e+00,1.34032634e+00
"2020-Mar-22",1.30534544e+00,1.31058190e+00
"2020-Mar-23",1.27879946e+00,1.28374803e+00
"2020-Mar-24",1.25432163e+00,1.25900103e+00
"2020-Mar-25",1.23107906e+00,1.23550404e+00
"2020-Mar-26",1.20834289e+00,1.21252426e+00
"2020-Mar-27",1.18558231e+00,1.18952745e+00
"2020-Mar-28",1.16253077e+00,1.16624469e+00
"2020-Mar-29",1.13924261e+00,1.14272925e+00
"2020-Mar-30",1.11612692e+00,1.11939069e+00
"2020-Mar-31",1.09393567e+00,1.09698309e+00
"2020-Apr-01",1.07371628e+00,1.07655737e+00
"2020-Apr-02",1.05671458e+00,1.05936399e+00
"2020-Apr-03",1.04423026e+00,1.04670787e+00
"2020-Apr-04",1.03743424e+00,1.03976520e+00
"2020-Apr-05",1.03713247e+00,1.03934674e+00
"2020-Apr-06",1.04349012e+00,1.04562120e+00
"2020-Apr-07",1.05578834e+00,1.05787137e+00
"2020-Apr-08",1.07230405e+00,1.07437303e+00
"2020-Apr-09",1.09041545e+00,1.09249974e+00
"2020-Apr-10",1.10694729e+00,1.10906772e+00
"2020-Apr-11",1.11865101e+00,1.12081611e+00
"2020-Apr-12",1.12269000e+00,1.12489320e+00
"2020-Apr-13",1.11703553e+00,1.11925423e+00
"2020-Apr-14",1.10068665e+00,1.10288382e+00
"2020-Apr-15",1.07367493e+00,1.07580308e+00
"2020-Apr-16",1.03688552e+00,1.03889221e+00
"2020-Apr-17",9.91780785e-01,9.93614452e-01
"2020-Apr-18",9.40144927e-01,9.41760001e-01
"2020-Apr-19",8.83909997e-01,8.85270653e-01
"2020-Apr-20",8.25031345e-01,8.26113722e-01
"2020-Apr-21",7.65394850e-01,7.66187741e-01
"2020-Apr-22",7.06768919e-01,7.07273116e-01
"2020-Apr-23",6.50796319e-01,6.51022905e-01
"2020-Apr-24",5.99022375e-01,5.98990218e-01
"2020-Apr-25",5.52916567e-01,5.52649263e-01
"2020-Apr-26",5.13843206e-01,5.13365759e-01
"2020-Apr-27",4.82997860e-01,4.82333471e-01
"2020-Apr-28",4.61313837e-01,4.60481298e-01
"2020-Apr-29",4.49309953e-01,4.48322138e-01
"2020-Apr-30",4.46891805e-01,4.45755489e-01
"2020-May-01",4.53149534e-01,4.51866296e-01
"2020-May-02",4.66278403e-01,4.64846020e-01
"2020-May-03",4.83749183e-01,4.82163234e-01
"2020-May-04",5.02698035e-01,5.00954261e-01
"2020-May-05",5.20396476e-01,5.18494206e-01
"2020-May-06",5.34654617e-01,5.32600191e-01
"2020-May-07",5.44053173e-01,5.41861564e-01
"2020-May-08",5.47997794e-01,5.45691423e-01
"2020-May-09",5.46626330e-01,5.44231663e-01
"2020-May-10",5.40626909e-01,5.38170373e-01
"2020-May-11",5.31048840e-01,5.28553343e-01
"2020-May-12",5.19154426e-01,5.16637054e-01
"2020-May-13",5.06319331e-01,5.03790170e-01
"2020-May-14",4.93955391e-01,4.91417190e-01
"2020-May-15",4.83426795e-01,4.80875234e-01
"2020-May-16",4.75952011e-01,4.73376437e-01
"2020-May-17",4.72496467e-01,4.69881045e-01
"2020-May-18",4.73655250e-01,4.70980591e-01
"2020-May-19",4.79532823e-01,4.76778163e-01
"2020-May-20",4.89652004e-01,4.86797928e-01
"2020-May-21",5.02966288e-01,4.99997655e-01
"2020-May-22",5.18030117e-01,5.14938608e-01
"2020-May-23",5.33304944e-01,5.30090595e-01
"2020-May-24",5.47504373e-01,5.44175550e-01
"2020-May-25",5.59888560e-01,5.56459976e-01
"2020-May-26",5.70453518e-01,5.66942367e-01
"2020-May-27",5.79993940e-01,5.76414918e-01
"2020-May-28",5.90028626e-01,5.86389214e-01
"2020-May-29",6.02585481e-01,5.98882993e-01
"2020-May-30",6.19872229e-01,6.16093732e-01
"2020-May-31",6.43873762e-01,6.39999418e-01
"2020-Jun-01",6.75910138e-01,6.71920059e-01
"2020-Jun-02",7.16246057e-01,7.12130082e-01
"2020-Jun-03",7.63894197e-01,7.59662874e-01
"2020-Jun-04",8.16734052e-01,8.12427937e-01
"2020-Jun-05",8.71984268e-01,8.67677770e-01
"2020-Jun-06",9.26902002e-01,9.22698847e-01
"2020-Jun-07",9.79443580e-01,9.75464187e-01
"2020-Jun-08",1.02866724e+00,1.02503217e+00
"2020-Jun-09",1.07475648e+00,1.07157207e+00
"2020-Jun-10",1.11870459e+00,1.11605520e+00
"2020-Jun-11",1.16185146e+00,1.15979895e+00
"2020-Jun-12",1.20537971e+00,1.20396749e+00
"2020-Jun-13",1.24981915e+00,1.24907737e+00
"2020-Jun-14",1.29470338e+00,1.29465183e+00
"2020-Jun-15",1.33849940e+00,1.33914631e+00
"2020-Jun-16",1.37889951e+00,1.38023703e+00
"2020-Jun-17",1.41338737e+00,1.41538639e+00
"2020-Jun-18",1.43978515e+00,1.44239262e+00
"2020-Jun-19",1.45663441e+00,1.45977481e+00
"2020-Jun-20",1.46340278e+00,1.46698367e+00
"2020-Jun-21",1.46049877e+00,1.46441896e+00
"2020-Jun-22",1.44912051e+00,1.45327885e+00
"2020-Jun-23",1.43095932e+00,1.43526219e+00
"2020-Jun-24",1.40784032e+00,1.41220641e+00
"2020-Jun-25",1.38145647e+00,1.38581884e+00
"2020-Jun-26",1.35322842e+00,1.35753440e+00
"2020-Jun-27",1.32423601e+00,1.32844567e+00
"2020-Jun-28",1.29518710e+00,1.29927101e+00
"2020-Jun-29",1.26641456e+00,1.27035120e+00
"2020-Jun-30",1.23793746e+00,1.24171076e+00
"2020-Jul-01",1.20959983e+00,1.21319719e+00
"2020-Jul-02",1.18122159e+00,1.18463272e+00
"2020-Jul-03",1.15271251e+00,1.15592893e+00
"2020-Jul-04",1.12415016e+00,1.12716523e+00
"2020-Jul-05",1.09584409e+00,1.09865352e+00
"2020-Jul-06",1.06839728e+00,1.07099991e+00
"2020-Jul-07",1.04273280e+00,1.04513158e+00
"2020-Jul-08",1.02004396e+00,1.02224684e+00
"2020-Jul-09",1.00167371e+00,1.00369415e+00
"2020-Jul-10",9.88951138e-01,9.90808245e-01
"2020-Jul-11",9.82998475e-01,9.84716664e-01
"2020-Jul-12",9.84501249e-01,9.86109563e-01
"2020-Jul-13",9.93454429e-01,9.94985466e-01
"2020-Jul-14",1.00896260e+00,1.01045101e+00
"2020-Jul-15",1.02920855e+00,1.03068901e+00
"2020-Jul-16",1.05165603e+00,1.05316075e+00
