Datum;Pocet_potvrdenych_PCR_testami;Dennych_PCR_testov;Dennych_PCR_prirastkov;Pocet_umrti;AgTests;AgPosit;PCR_plus
2020-03-06;1;378;2.538872411;0;NA;NA;1
2020-03-07;3;66;3.018995941;0;NA;NA;2
2020-03-08;5;76;4.6350285;0;NA;NA;2
2020-03-09;7;69;6.736478403;0;NA;NA;2
2020-03-10;7;111;8.667559191;0;NA;NA;0
2020-03-11;10;97;10.96648635;0;NA;NA;3
2020-03-12;21;95;13.50578309;0;NA;NA;11
2020-03-13;32;58;16.07700596;0;NA;NA;11
2020-03-14;44;197;18.70339818;0;NA;NA;12
2020-03-15;61;289;21.09747424;0;NA;NA;17
2020-03-16;72;159;23.22101822;0;NA;NA;11
2020-03-17;96;318;25.14181653;0;NA;NA;24
2020-03-18;104;225;26.92945833;0;NA;NA;8
2020-03-19;123;301;28.28559812;0;NA;NA;19
2020-03-20;137;368;29.42618785;0;NA;NA;14
2020-03-21;178;440;30.38089376;0;NA;NA;41
2020-03-22;185;242;31.53835224;0;NA;NA;7
2020-03-23;204;451;32.9157425;0;NA;NA;19
2020-03-24;216;476;34.2222979;0;NA;NA;12
2020-03-25;226;335;35.43698025;0;NA;NA;10
2020-03-26;269;913;36.74291713;0;NA;NA;43
2020-03-27;292;747;38.15501901;0;NA;NA;23
2020-03-28;314;720;39.75187904;0;NA;NA;22
2020-03-29;336;401;41.53805334;0;NA;NA;22
2020-03-30;363;688;43.1020927;1;NA;NA;27
2020-03-31;400;877;44.87323587;1;NA;NA;37
2020-04-01;426;1191;47.05557969;1;NA;NA;26
2020-04-02;450;1454;49.37245812;1;NA;NA;24
2020-04-03;471;1889;51.79377864;1;NA;NA;21
2020-04-04;485;1524;53.613869;1;NA;NA;14
2020-04-05;534;1036;54.80162866;2;NA;NA;49
2020-04-06;581;1448;55.34544314;2;NA;NA;47
2020-04-07;682;2042;55.97951122;2;NA;NA;101
2020-04-08;701;1690;56.94608479;2;NA;NA;19
2020-04-09;715;2301;58.0574795;2;NA;NA;14
2020-04-10;728;2174;59.58539859;2;NA;NA;13
2020-04-11;742;1580;62.30532714;2;NA;NA;14
2020-04-12;769;1324;65.99323778;2;NA;NA;27
2020-04-13;835;1302;70.00242653;2;NA;NA;66
2020-04-14;863;1439;73.59531125;6;NA;NA;28
2020-04-15;977;2967;76.36916306;8;NA;NA;114
2020-04-16;1049;3351;76.702895;9;NA;NA;72
2020-04-17;1089;3144;76.18787002;11;NA;NA;40
2020-04-18;1161;3323;73.11146645;12;NA;NA;72
2020-04-19;1173;2458;68.09030831;13;NA;NA;12
2020-04-20;1199;2694;62.63407003;14;NA;NA;26
2020-04-21;1244;3468;55.91425623;14;NA;NA;45
2020-04-22;1325;4525;48.69480057;15;NA;NA;81
2020-04-23;1360;3840;41.77816727;17;NA;NA;35
2020-04-24;1373;4828;35.08109872;17;NA;NA;13
2020-04-25;1379;4839;28.28571594;18;NA;NA;6
2020-04-26;1381;3171;22.42422728;18;NA;NA;2
2020-04-27;1384;1767;17.61755838;20;NA;NA;3
2020-04-28;1391;5472;13.61359816;21;NA;NA;7
2020-04-29;1396;4584;10.91089347;23;NA;NA;5
2020-04-30;1403;5150;9.209780653;23;NA;NA;7
2020-05-01;1407;3698;8.328537224;24;NA;NA;4
2020-05-02;1408;1450;8.279735603;24;NA;NA;1
2020-05-03;1413;1584;8.733659096;25;NA;NA;5
2020-05-04;1421;2060;9.158484204;25;NA;NA;8
2020-05-05;1429;4742;8.684019569;25;NA;NA;8
2020-05-06;1445;5161;8.631462653;26;NA;NA;16
2020-05-07;1455;4694;8.42741621;26;NA;NA;10
2020-05-08;1455;3910;8.326277761;26;NA;NA;0
2020-05-09;1457;1488;8.287433149;26;NA;NA;2
2020-05-10;1457;786;7.865170729;26;NA;NA;0
2020-05-11;1465;2063;7.485054534;27;NA;NA;8
2020-05-12;1469;4326;6.843925633;27;NA;NA;4
2020-05-13;1477;4876;6.516097143;27;NA;NA;8
2020-05-14;1480;3992;6.196607714;27;NA;NA;3
2020-05-15;1493;4084;5.760111977;28;NA;NA;13
2020-05-16;1494;2476;5.512095312;28;NA;NA;1
2020-05-17;1495;971;5.090358869;28;NA;NA;1
2020-05-18;1495;2041;4.668622426;28;NA;NA;0
2020-05-19;1496;3371;4.143650329;28;NA;NA;1
2020-05-20;1502;2933;3.945289143;28;NA;NA;6
2020-05-21;1503;2751;3.777657843;28;NA;NA;1
2020-05-22;1504;2236;3.664562988;28;NA;NA;1
2020-05-23;1509;1649;3.566069248;28;NA;NA;5
2020-05-24;1511;645;3.453965073;28;NA;NA;2
2020-05-25;1513;1464;3.28569498;28;NA;NA;2
2020-05-26;1515;2839;3.047536067;28;NA;NA;2
2020-05-27;1520;2352;2.814873003;28;NA;NA;5
2020-05-28;1520;1848;2.574656012;28;NA;NA;0
2020-05-29;1521;3433;2.312299009;28;NA;NA;1
2020-05-30;1521;1606;2.116505918;28;NA;NA;0
2020-05-31;1522;274;1.924634653;28;NA;NA;1
2020-06-01;1522;6418;1.796405248;28;NA;NA;0
2020-06-02;1525;2336;1.773001703;28;NA;NA;3
2020-06-03;1526;2135;1.86521665;28;NA;NA;1
2020-06-04;1526;1832;2.04996519;28;NA;NA;0
2020-06-05;1528;2639;2.266480752;28;NA;NA;2
2020-06-06;1528;1180;2.585631545;28;NA;NA;0
2020-06-07;1530;160;2.977934262;28;NA;NA;2
2020-06-08;1531;851;3.356863023;28;NA;NA;1
2020-06-09;1533;1545;3.819477883;28;NA;NA;2
2020-06-10;1541;1500;4.332996487;28;NA;NA;8
2020-06-11;1542;1262;4.87579698;28;NA;NA;1
2020-06-12;1545;1511;5.392649755;28;NA;NA;3
2020-06-13;1548;479;5.967698379;28;NA;NA;3
2020-06-14;1552;47;6.541901985;28;NA;NA;4
2020-06-15;1552;847;7.265173927;28;NA;NA;0
2020-06-16;1561;1163;8.005820845;28;NA;NA;9
2020-06-17;1562;787;8.897603644;28;NA;NA;1
2020-06-18;1576;806;9.880778603;28;NA;NA;14
2020-06-19;1586;1278;10.92455578;28;NA;NA;10
2020-06-20;1587;301;12.10025318;28;NA;NA;1
2020-06-21;1588;41;13.33745955;28;NA;NA;1
2020-06-22;1589;661;14.36377847;28;NA;NA;1
2020-06-23;1607;1257;15.28231047;28;NA;NA;18
2020-06-24;1630;936;16.15866498;28;NA;NA;23
2020-06-25;1643;1515;16.91282997;28;NA;NA;13
2020-06-26;1657;1611;17.46856966;28;NA;NA;14
2020-06-27;1664;931;18.21604257;28;NA;NA;7
2020-06-28;1665;62;18.83116603;28;NA;NA;1
2020-06-29;1667;784;19.81443157;28;NA;NA;2
2020-06-30;1687;2063;20.94932334;28;NA;NA;20
2020-07-01;1700;1708;22.24114935;28;NA;NA;13
2020-07-02;1720;1801;23.37532449;28;NA;NA;20
2020-07-03;1749;2216;24.78496635;28;NA;NA;29
2020-07-04;1764;808;26.75786401;28;NA;NA;15
2020-07-05;1765;50;28.385496;28;NA;NA;1
2020-07-06;1767;873;29.2972918;28;NA;NA;2
2020-07-07;1798;2225;29.08324017;28;NA;NA;31
2020-07-08;1851;2284;28.93017049;28;NA;NA;53
2020-07-09;1870;2172;28.0638418;28;NA;NA;19
2020-07-10;1893;2879;26.81410997;28;NA;NA;23
2020-07-11;1901;960;26.20880204;28;NA;NA;8
2020-07-12;1902;279;24.7973843;28;NA;NA;1
2020-07-13;1908;1163;23.68749764;28;NA;NA;6
2020-07-14;1927;2205;22.68036253;28;NA;NA;19
2020-07-15;1951;2336;22.83059287;28;NA;NA;24
2020-07-16;1965;1862;23.95818483;28;NA;NA;14
2020-07-17;1976;2161;25.73156192;28;NA;NA;11
2020-07-18;1979;410;28.53801152;28;NA;NA;3
2020-07-19;1980;24;31.03520124;28;NA;NA;1
2020-07-20;2021;3333;32.82455001;28;NA;NA;41
2020-07-21;2058;2571;34.84410801;28;NA;NA;37
2020-07-22;2089;2251;36.84461044;28;NA;NA;31
2020-07-23;2118;2049;38.35491087;28;NA;NA;29
2020-07-24;2141;2275;38.86234405;28;NA;NA;23
2020-07-25;2179;767;39.24045073;28;NA;NA;38
2020-07-26;2181;216;39.2094691;28;NA;NA;2
2020-07-27;2204;1548;39.18291341;28;NA;NA;23
2020-07-28;2245;2296;39.31569184;28;NA;NA;41
2020-07-29;2265;1851;39.80040671;28;NA;NA;20
2020-07-30;2292;2176;40.48792915;29;NA;NA;27
2020-07-31;2337;2884;41.5079802;29;NA;NA;45
2020-08-01;2344;585;43.67777145;29;NA;NA;7
2020-08-02;2354;766;45.80773406;29;NA;NA;10
2020-08-03;2368;1320;47.96025984;29;NA;NA;14
2020-08-04;2417;2538;49.39730133;29;NA;NA;49
2020-08-05;2480;2667;51.59669446;29;NA;NA;63
2020-08-06;2523;2473;52.92806166;31;NA;NA;43
2020-08-07;2566;3099;54.47799351;31;NA;NA;43
2020-08-08;2596;1068;57.86268123;31;NA;NA;30
2020-08-09;2599;564;59.59440017;31;NA;NA;3
2020-08-10;2615;1454;61.41714252;31;NA;NA;16
2020-08-11;2690;3131;62.36078748;31;NA;NA;75
2020-08-12;2739;2741;65.04226886;31;NA;NA;49
2020-08-13;2801;2738;68.20241888;31;NA;NA;62
2020-08-14;2855;3235;71.66970399;31;NA;NA;54
2020-08-15;2902;2013;77.48360513;31;NA;NA;47
2020-08-16;2907;481;82.67255244;31;NA;NA;5
2020-08-17;2922;1583;88.1113055;31;NA;NA;15
2020-08-18;3022;3684;91.76602871;33;NA;NA;100
2020-08-19;3102;3435;96.36748332;33;NA;NA;80
2020-08-20;3225;3245;99.50644292;33;NA;NA;123
2020-08-21;3316;3833;101.5389833;33;NA;NA;91
2020-08-22;3356;1723;106.6932911;33;NA;NA;40
2020-08-23;3424;929;108.8893237;33;NA;NA;68
2020-08-24;3452;2103;108.8329828;33;NA;NA;28
2020-08-25;3536;4090;106.397334;33;NA;NA;84
2020-08-26;3626;3636;107.576682;33;NA;NA;90
2020-08-27;3728;4360;108.8899191;33;NA;NA;102
2020-08-28;3842;4453;110.2300677;33;NA;NA;114
2020-08-29;3876;1951;118.4422278;33;NA;NA;34
2020-08-30;3917;588;123.6944171;33;NA;NA;41
2020-08-31;3989;2763;128.5279607;33;NA;NA;72
2020-09-01;4081.702624;2428;136.5071022;33;NA;NA;92.70262391
2020-09-02;4179.41035;3519;145.2312827;37;NA;NA;97.70772595
2020-09-03;4283.118076;4772;153.430745;37;NA;NA;103.7077259
2020-09-04;4393.593294;5947;161.6259721;37;NA;NA;110.4752187
2020-09-05;4511.251458;2462;174.3411878;37;NA;NA;117.6581633
2020-09-06;4636.201895;922;182.2474538;37;NA;NA;124.9504373
2020-09-07;4768.355685;2891;186.9952156;37;NA;NA;132.1537901
2020-09-08;4907.306122;5309;188.8162992;37;NA;NA;138.9504373
2020-09-09;5052.281341;5021;185.1870698;37;NA;NA;144.9752187
2020-09-10;5202.366618;4266;186.4639195;37;NA;NA;150.085277
2020-09-11;5356.799563;6191;189.9084056;38;NA;NA;154.4329446
2020-09-12;5515.266764;3080;202.9332693;38;NA;NA;158.4672012
2020-09-13;5678.059767;1425;208.2564343;38;NA;NA;162.7930029
2020-09-14;5846.079446;4323;209.8114784;38;NA;NA;168.0196793
2020-09-15;6020.916181;3235;220.3463993;38;NA;NA;174.8367347
2020-09-16;6204.965015;4027;235.7328549;39;NA;NA;184.0488338
2020-09-17;6401.351312;5542;253.7147401;39;NA;NA;196.3862974
2020-09-18;6613.655248;5750;276.0867768;39;NA;NA;212.3039359
2020-09-19;6845.559767;3443;310.6669698;39;NA;NA;231.904519
2020-09-20;7100.543003;1952;343.6841181;39;NA;NA;254.9832362
2020-09-21;7381.75656;2664;381.0200347;40;NA;NA;281.2135569
2020-09-22;7692.058309;6231;422.4315829;41;NA;NA;310.3017493
2020-09-23;8033.96793;5213;447.464799;41;NA;NA;341.909621
2020-09-24;8409.49344;5540;473.4387689;41;NA;NA;375.5255102
2020-09-25;8819.733965;6483;516.4745059;44;NA;NA;410.2405248
2020-09-26;9264.626093;5655;559.3466235;44;NA;NA;444.8921283
2020-09-27;9742.991254;1954;595.6954559;44;NA;NA;478.3651603
2020-09-28;10252.23105;2561;633.5394873;45;NA;NA;509.2397959
2020-09-29;10788.12026;7350;661.2309618;48;NA;NA;535.8892128
2020-09-30;11345.12974;9170;686.8875799;48;NA;NA;557.0094752
2020-10-01;11916.98469;7824;693.2424063;54;NA;NA;571.8549563
2020-10-02;12498.61297;9492;678.6784494;54;NA;NA;581.6282799
2020-10-03;13088.43222;8565;667.6075568;55;NA;NA;589.819242
2020-10-04;13688.76603;3382;680.2275842;55;NA;NA;600.3338192
2020-10-05;14306.50219;3750;703.4161239;55;NA;NA;617.7361516
