"","t_start","t_end","Mean(R)","Std(R)","Median(R)","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","Date","Cases"
"1",2,7,5.08477704312514,0.107291925361051,5.08402242115085,4.87664116270544,4.90959394705321,4.94777077731527,4.97364025535399,4.99426480981953,5.01200428460461,5.02797068094951,5.04279619141737,5.05689109033455,5.07055305416568,5.08402242115085,5.09751562061815,5.11125062382682,5.12547273430478,5.14048920284246,5.15672717638662,5.17484908178653,5.19602582344703,5.22275282528345,5.26253422628227,5.29720135393658,2020-08-22,200
"2",3,8,3.7244842300253,0.0743263461141837,3.72398981925669,3.58021719902177,3.60307731870439,3.62955443199861,3.64749166005856,3.66178974979853,3.67408601849829,3.68515190755139,3.69542593468182,3.70519263365783,3.71465839937195,3.72398981925669,3.73333685360515,3.74285047294792,3.7527005178589,3.76309965610755,3.77434347601506,3.7868903041198,3.80155017383865,3.82004923146577,3.84757762293204,3.87156094256214,2020-08-23,340
"3",4,9,2.31123258641898,0.0498337359686927,2.31087443224232,2.21458191665924,2.22987877976284,2.24760257591621,2.259613767837,2.26919040270313,2.27742786868903,2.28484235745005,2.29172734948598,2.29827331883341,2.30461847830173,2.31087443224232,2.31714169742068,2.32352152242448,2.33012786820026,2.33710349166638,2.34464687484046,2.35306584783468,2.36290455856068,2.37532274333248,2.39380809104596,2.40991860490506,2020-08-24,140
"4",5,10,1.85355968586521,0.0397810886111055,1.85327509979383,1.77640197052892,1.78861458835586,1.80276447833609,1.81235348113452,1.81999876837157,1.82657488057861,1.83249393268798,1.83799022961627,1.84321583701097,1.84828109525214,1.85327509979383,1.85827809214153,1.86337089530002,1.86864447725257,1.87421278908723,1.88023425952106,1.88695459554363,1.89480812587794,1.90472052151257,1.91947553351755,1.93233467098928,2020-08-25,420
"5",6,11,1.45379820234348,0.0324592636266292,1.45355663450568,1.39086839766038,1.40082264521621,1.4123582483317,1.42017702398796,1.42641172014083,1.43177507773332,1.43660299633979,1.44108646915903,1.44534946914526,1.4494819688171,1.45355663450568,1.45763892940669,1.46179481031525,1.46609853303874,1.47064313500604,1.47555799039307,1.48104377092094,1.48745523208653,1.49554851631989,1.50759777049158,1.51810080850175,2020-08-26,450
"6",7,12,1.33324484313888,0.0293677663769,1.33302921860354,1.27630021330794,1.28530971987142,1.29574976811982,1.30282554097486,1.30846751320504,1.31332080538385,1.31768943949962,1.32174627682201,1.32560351562294,1.32934257785284,1.33302921860354,1.33672266922047,1.34048260163811,1.34437618972196,1.34848759117526,1.35293382542519,1.35789639283544,1.36369614628028,1.37101694671204,1.38191548228807,1.39141484192907,2020-08-27,510
"7",8,13,1.45184832599972,0.0294461668606309,1.45164925662776,1.39470262671591,1.40375559047286,1.41424173405952,1.42134617363662,1.42700952658348,1.43188016924246,1.43626360217549,1.44033349076608,1.44420252418665,1.44795245044743,1.45164925662776,1.4553523498128,1.45912154384941,1.46302413566052,1.46714439896514,1.47159947393633,1.47657100176995,1.48238002170167,1.48971067614059,1.50062010590479,1.51012531424622,2020-08-28,570
"8",9,14,1.26304579514638,0.0265624919752785,1.26285959247998,1.21151537183479,1.21967426643698,1.22912644648903,1.23553136288343,1.24063765699565,1.24502961600436,1.24898256460703,1.25265302848712,1.2561425870734,1.25952494070481,1.26285959247998,1.26620012490987,1.26960050097637,1.27312144896086,1.27683903166332,1.28085899182488,1.28534531542716,1.29058786150056,1.29720437154264,1.30705247879138,1.31563438695912,2020-08-29,170
"9",10,15,1.23076023579066,0.0255192908166512,1.23058386306568,1.18124638447646,1.18908770242784,1.19817134039295,1.20432615004046,1.20923283064271,1.21345294773759,1.21725111106916,1.22077774936172,1.22413048078766,1.22738012718914,1.23058386306568,1.23379316914535,1.23705988654143,1.24044235025684,1.24401361987675,1.2478752570983,1.25218475710392,1.25722049668326,1.26357572959804,1.27303439318902,1.28127639332745,2020-08-30,205
"10",11,16,1.14731935134326,0.0241020712484885,1.14715058268447,1.10056153515472,1.10796490193291,1.11654174733253,1.1223534979261,1.12698687689436,1.13097206697382,1.13455889744817,1.13788939912773,1.14105574446277,1.14412480828768,1.14715058268447,1.1501816871348,1.15326708596801,1.156461881736,1.15983509053886,1.16348265833162,1.16755337772106,1.17231025148608,1.17831378438171,1.18724948663461,1.19503626056926,2020-08-31,360
"11",12,17,1.26350790516091,0.0248623709160032,1.26334483447494,1.21524356524121,1.22289295771498,1.23175208481085,1.2377534564829,1.24253705957324,1.24665078823326,1.25035278176169,1.25378977179535,1.25705696149593,1.26022340519674,1.26334483447494,1.26647141384399,1.26965364102233,1.27294832056536,1.27642657577912,1.28018725593057,1.28438362616603,1.28928655453051,1.29547323351288,1.30467910200668,1.31269895782259,2020-09-01,766.681456019035
