"","t_start","t_end","Mean(R)","Std(R)","Median(R)","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","Date","Cases"
"1",2,7,5.08462377757162,0.239691463526884,5.08085788597595,4.62562902100629,4.69689386759555,4.77996771545747,4.83657001713932,4.88187444483531,4.92096712313959,4.95625141854557,4.98909809374904,5.02040048028052,5.050810391643,5.08085788597595,5.11102432176511,5.14179875239422,5.17373601486261,5.20753570233681,5.24417534677885,5.28517658930703,5.33323673735456,5.39411847938884,5.48519961921147,5.5650191842716,2020-08-22,40
"2",3,8,3.72599598084277,0.166133949461065,3.72352708972517,3.40745127330183,3.45700559420202,3.51473582529488,3.55404884904846,3.58550268432401,3.61263520097305,3.63711769563543,3.65990308666343,3.68161213348004,3.70269751511822,3.72352708972517,3.74443464087889,3.76575899687723,3.78788426071484,3.81129443545744,3.83666548182842,3.86504923330448,3.89830969305567,3.94042828468606,4.00340805654191,4.0585708404261,2020-08-23,68
"3",4,9,2.31354184894646,0.111439389609071,2.31175281299531,2.10025242340857,2.13334240523538,2.17192517198397,2.1982192896015,2.21926838713917,2.23743374775189,2.25383128380754,2.26909754011534,2.28364742600004,2.2977837459172,2.31175281299531,2.32577838494827,2.34008787505149,2.35493936795201,2.37065836644808,2.38769978034485,2.40677183111556,2.42913007130765,2.45745719354232,2.49984392324882,2.53699792001927,2020-08-24,28
"4",5,10,1.85570731706103,0.0889743556828664,1.85428551299573,1.68539582123469,1.71182263011148,1.74263451413131,1.76363178551226,1.78044005413789,1.79494517916384,1.80803837188796,1.82022798758874,1.83184536758467,1.84313231583263,1.85428551299573,1.8654836163575,1.87690818839313,1.88876526496823,1.90131468914001,1.91491959189334,1.93014529226033,1.94799397810574,1.97060694314198,2.00444195910372,2.0340985733013,2020-08-25,84
"5",6,11,1.4558530276664,0.0726113493548897,1.45464603079754,1.31699796718276,1.33851203375184,1.36360770699778,1.38071663887725,1.39441634959877,1.40624171741674,1.41691824259233,1.42685985878363,1.43633645045353,1.44554505592003,1.45464603079754,1.46378512765131,1.47311056531943,1.48279064122513,1.49303770741323,1.50414863516347,1.51658571563243,1.53116865883739,1.5496491850094,1.57731124594872,1.6015671360688,2020-08-26,90
"6",7,12,1.33514145788982,0.0656980161669403,1.33406401663406,1.20946446509147,1.22894669134737,1.25166858711049,1.26715698035401,1.27955779855326,1.29026108800877,1.29992384196779,1.30892087555669,1.31749654086413,1.32582920906587,1.33406401663406,1.34233285419907,1.3507698139415,1.35952712169203,1.36879681862542,1.37884734697261,1.39009668884267,1.40328593515375,1.41999869940184,1.44501151637578,1.46694127303717,2020-08-27,102
"7",8,13,1.45354274575383,0.06586630902632,1.45254797111812,1.32729693812109,1.34692549202344,1.36979653788312,1.38537363226565,1.39783804391165,1.40859099303469,1.41829447134647,1.42732595934145,1.43593138847184,1.44429012897205,1.45254797111812,1.46083723192762,1.46929226105504,1.47806539420891,1.48734862281372,1.49741012021905,1.508667222126,1.52185956615472,1.53856709043611,1.56355329838063,1.58544162886913,2020-08-28,114
"8",9,14,1.26471508692989,0.0594214983116988,1.26378458692276,1.1509175407668,1.16858818050727,1.18918617086755,1.20322012661887,1.21445262261422,1.22414482714651,1.23289267481839,1.24103605084678,1.24879645406505,1.25633549408334,1.26378458692276,1.2712630685454,1.27889217621685,1.28680944847376,1.29518830062463,1.30427103627376,1.31443482062848,1.32634821707746,1.34143956362,1.36401604610687,1.3838004403247,2020-08-29,34
"9",10,15,1.23235509994391,0.0570877476154591,1.23147369918301,1.1229906239165,1.13998142917405,1.15978380853691,1.17327379137143,1.18406981276991,1.19338462819804,1.20179125449728,1.20961647867037,1.21707324040995,1.22431688185944,1.23147369918301,1.23865835448912,1.24598731086456,1.25359266392594,1.26164093857253,1.27036478148293,1.28012629254585,1.2915672851135,1.30605886371393,1.32773533879263,1.34672836792822,2020-08-30,41
"10",11,16,1.14887926849758,0.0539195757277424,1.14803585499675,1.0456157140943,1.06165125363838,1.08034303648741,1.09307810173313,1.10327091116754,1.11206594258471,1.12000398824139,1.12739348145788,1.13443542255124,1.14127646336684,1.14803585499675,1.15482188487746,1.16174456380383,1.16892869237069,1.17653162321385,1.18477321428099,1.19399568981035,1.20480567344476,1.21849916711442,1.23898427299384,1.25693573880563,2020-08-31,72
