"","date","X0.1","X0.25","X0.5","X0.75","X0.9","newcases"
"1",2021-04-13,2550.8,2916,3798,5655.75,8529.8,NA
"2",2021-04-12,2178.9,2526.5,3296.5,4956.5,7471.7,NA
"3",2021-04-11,1331.9,1577.75,2077.5,3176,4909.1,NA
"4",2021-04-10,2945.9,3374.25,4268.5,6209.5,9031.5,NA
"5",2021-04-09,2454,2825.75,3552.5,5199.5,7659.2,NA
"6",2021-04-08,2231.9,2546.75,3248.5,4729.25,6904,NA
"7",2021-04-07,2407.8,2751,3469,4835.5,7126.3,NA
"8",2021-04-06,2863.9,3227.5,4054.5,5633,8057.3,NA
"9",2021-04-05,2454,2793,3512.5,4877,6955.6,NA
"10",2021-04-04,1515.8,1759.5,2217.5,3211.25,4585.7,NA
"11",2021-04-03,3278.9,3700.75,4573.5,6184.5,8295.4,NA
"12",2021-04-02,2705.8,3098,3783.5,5156.25,7101.9,NA
"13",2021-04-01,2479.8,2843,3487,4682.25,6407,NA
"14",2021-03-31,2629.8,3013.75,3681.5,4894.5,6591,NA
"15",2021-03-30,3119.9,3547.75,4281.5,5641.5,7409.1,NA
"16",2021-03-29,2653,3090.5,3699,4861.5,6397.5,NA
"17",2021-03-28,1650.9,1914.5,2330.5,3107,4229.7,NA
"18",2021-03-27,3500,4045.75,4734,6048,7818.6,NA
"19",2021-03-26,2917.6,3357.5,3975,5096.25,6481.3,NA
"20",2021-03-25,2670.6,3073,3634,4647.25,5918.2,NA
"21",2021-03-24,2841.5,3240.75,3822,4807.25,6111.7,NA
"22",2021-03-23,3331.8,3783.75,4426.5,5486.5,6892.4,NA
"23",2021-03-22,2891,3285.5,3835,4767.25,5949.6,NA
"24",2021-03-21,1821.7,2086.75,2464,3077.75,3869.4,NA
"25",2021-03-20,3793.8,4240.5,4903,5942.75,7225.1,NA
"26",2021-03-19,3161.9,3545,4113,4993,6007.5,NA
"27",2021-03-18,2882.9,3238.75,3783,4521.25,5486.5,NA
"28",2021-03-17,3051,3443,3938.5,4733,5640,NA
