"","date","X0.1","X0.25","X0.5","X0.75","X0.9","newcases"
"1",2021-04-07,1908.8,2414.25,3521,5180.5,7109.8,NA
"2",2021-04-06,2053,2596.5,3772,5515.75,7465.1,NA
"3",2021-04-05,2351.9,2983.5,4237.5,6052.25,8127.7,NA
"4",2021-04-04,2407,3005,4198,6012.5,7988.1,NA
"5",2021-04-03,3220.8,4032.25,5478.5,7514.5,9821.8,NA
"6",2021-04-02,2361.8,2919,4017.5,5618,7460.8,NA
"7",2021-04-01,2049,2582.5,3563.5,4987.5,6587.3,NA
"8",2021-03-31,2185.6,2679.5,3689,5129.25,6658.3,NA
"9",2021-03-30,2354,2913,3953,5408.75,6972.3,NA
"10",2021-03-29,2727.9,3320.5,4457.5,5942.5,7580.1,NA
"11",2021-03-28,2745.9,3362,4418.5,5887.75,7578.2,NA
"12",2021-03-27,3683.8,4413,5696,7471.5,9289.8,NA
"13",2021-03-26,2689,3199.75,4214,5562.75,7015.9,NA
"14",2021-03-25,2330,2785.75,3714.5,4917,6084.3,NA
"15",2021-03-24,2506.7,2973.75,3890,5101.75,6284,NA
"16",2021-03-23,2718.9,3207.25,4123.5,5336.5,6519.1,NA
"17",2021-03-22,3112,3625,4567,5918,7194.1,NA
"18",2021-03-21,3147.5,3626.25,4578.5,5772.5,7007.1,NA
"19",2021-03-20,4152.9,4780.75,5863,7239.25,8583.4,NA
"20",2021-03-19,3037.9,3495,4341.5,5478.25,6514.7,NA
"21",2021-03-18,2652.8,3061,3812.5,4786.25,5686.6,NA
"22",2021-03-17,2809.8,3224.75,3951.5,4955.25,5824,NA
"23",2021-03-16,3040.9,3465,4182.5,5178.25,6139.8,NA
"24",2021-03-15,3520.9,3938.75,4707.5,5761.5,6642.1,NA
"25",2021-03-14,3528.8,3951.75,4674,5671.5,6529.2,NA
"26",2021-03-13,4570.7,5059.75,5961,7056,8026.8,NA
"27",2021-03-12,3397.6,3790,4417.5,5282,6018.1,NA
"28",2021-03-11,2958.5,3294.25,3844,4651.25,5274.3,NA
"29",2021-03-10,3121.6,3479.75,4062,4779.5,5403,NA
"30",2021-03-09,3367.7,3711.75,4290,5043,5632.2,NA
"31",2021-03-08,3836.4,4201,4776.5,5554,6149.1,NA
"32",2021-03-07,3800,4162,4723.5,5468.5,6031.5,NA
"33",2021-03-06,4908.9,5346,5981,6753.5,7428.3,NA
"34",2021-03-05,3685.9,3987,4473.5,5054.25,5552.1,NA
"35",2021-03-04,3182,3460.75,3860.5,4408,4818,NA
"36",2021-03-03,3350.9,3627.75,4033.5,4541.25,4971.5,NA
"37",2021-03-02,3598.7,3879.5,4275.5,4788,5186.1,NA
"38",2021-03-01,4090,4360.75,4778.5,5281.5,5686.1,NA
"39",2021-02-28,4022.9,4324.75,4707.5,5187.25,5571,NA
"40",2021-02-27,5060,5449,5881,6421.25,6868.1,NA
"41",2021-02-26,3841.8,4087.75,4429,4824.25,5139.1,NA
"42",2021-02-25,3364.9,3585,3873,4225,4506.2,NA
"43",2021-02-24,3497.6,3731,4031.5,4326,4604.1,NA
"44",2021-02-23,3742.9,3941,4237,4560,4833.4,NA
"45",2021-02-22,4167.9,4393,4706,5030,5321.2,NA
"46",2021-02-21,4119.9,4361,4634,4909,5220.1,NA
"47",2021-02-20,4759.1,5422.75,5816,6168,6525.1,NA
"48",2021-02-19,3882.7,4105.75,4352,4630.75,4868.2,NA
"49",2021-02-18,NA,NA,NA,NA,NA,5052.67174603175
"50",2021-02-17,NA,NA,NA,NA,NA,4992.44141496599
"51",2021-02-16,NA,NA,NA,NA,NA,4885.93978620019
"52",2021-02-15,NA,NA,NA,NA,NA,5451.5
"53",2021-02-14,NA,NA,NA,NA,NA,5139
"54",2021-02-13,NA,NA,NA,NA,NA,7020.5
"55",2021-02-12,NA,NA,NA,NA,NA,5415.75
"56",2021-02-11,NA,NA,NA,NA,NA,4485
"57",2021-02-10,NA,NA,NA,NA,NA,4875
"58",2021-02-09,NA,NA,NA,NA,NA,5125.25
"59",2021-02-08,NA,NA,NA,NA,NA,5911.75
"60",2021-02-07,NA,NA,NA,NA,NA,5525.5
"61",2021-02-06,NA,NA,NA,NA,NA,7662
"62",2021-02-05,NA,NA,NA,NA,NA,5144
"63",2021-02-04,NA,NA,NA,NA,NA,4876
