"Variables ->","AS"
"Comments ->",""
"Class[Size] ->","tseries[254-by-1]"
"2020-Mar-06",2.00000000e+01
"2020-Mar-07",2.00000000e+01
"2020-Mar-08",2.00000000e+01
"2020-Mar-09",2.00000000e+01
"2020-Mar-10",2.00000000e+01
"2020-Mar-11",1.97920000e+01
"2020-Mar-12",1.92960000e+01
"2020-Mar-13",1.87040000e+01
"2020-Mar-14",1.82080000e+01
"2020-Mar-15",1.80000000e+01
"2020-Mar-16",1.80326537e+01
"2020-Mar-17",1.81291177e+01
"2020-Mar-18",1.82871460e+01
"2020-Mar-19",1.85044930e+01
"2020-Mar-20",1.87789127e+01
"2020-Mar-21",1.91081595e+01
"2020-Mar-22",1.94899874e+01
"2020-Mar-23",1.99221508e+01
"2020-Mar-24",2.04024037e+01
"2020-Mar-25",2.09285003e+01
"2020-Mar-26",2.14981949e+01
"2020-Mar-27",2.21092417e+01
"2020-Mar-28",2.27593948e+01
"2020-Mar-29",2.34464085e+01
"2020-Mar-30",2.41680368e+01
"2020-Mar-31",2.49220341e+01
"2020-Apr-01",2.57061545e+01
"2020-Apr-02",2.65181523e+01
"2020-Apr-03",2.73557815e+01
"2020-Apr-04",2.82167964e+01
"2020-Apr-05",2.90989511e+01
"2020-Apr-06",3.00000000e+01
"2020-Apr-07",3.11491905e+01
"2020-Apr-08",3.26866353e+01
"2020-Apr-09",3.44763866e+01
"2020-Apr-10",3.63824965e+01
"2020-Apr-11",3.82690169e+01
"2020-Apr-12",4.00000000e+01
"2020-Apr-13",4.15926963e+01
"2020-Apr-14",4.31582752e+01
"2020-Apr-15",4.47016672e+01
"2020-Apr-16",4.62278026e+01
"2020-Apr-17",4.77416120e+01
"2020-Apr-18",4.92480257e+01
"2020-Apr-19",5.07519743e+01
"2020-Apr-20",5.22583880e+01
"2020-Apr-21",5.37721974e+01
"2020-Apr-22",5.52983328e+01
"2020-Apr-23",5.68417248e+01
"2020-Apr-24",5.84073037e+01
"2020-Apr-25",6.00000000e+01
"2020-Apr-26",6.18573369e+01
"2020-Apr-27",6.40218357e+01
"2020-Apr-28",6.62059238e+01
"2020-Apr-29",6.81220289e+01
"2020-Apr-30",6.94825785e+01
"2020-May-01",7.00000000e+01
"2020-May-02",6.86480000e+01
"2020-May-03",6.54240000e+01
"2020-May-04",6.15760000e+01
"2020-May-05",5.83520000e+01
"2020-May-06",5.70000000e+01
"2020-May-07",5.72675911e+01
"2020-May-08",5.79635762e+01
"2020-May-09",5.89277732e+01
"2020-May-10",6.00000000e+01
"2020-May-11",6.17266225e+01
"2020-May-12",6.42924503e+01
"2020-May-13",6.69949669e+01
"2020-May-14",6.91316556e+01
"2020-May-15",7.00000000e+01
"2020-May-16",6.98600000e+01
"2020-May-17",6.94800000e+01
"2020-May-18",6.89200000e+01
"2020-May-19",6.82400000e+01
"2020-May-20",6.75000000e+01
"2020-May-21",6.67600000e+01
"2020-May-22",6.60800000e+01
"2020-May-23",6.55200000e+01
"2020-May-24",6.51400000e+01
"2020-May-25",6.50000000e+01
"2020-May-26",6.50715987e+01
"2020-May-27",6.52808958e+01
"2020-May-28",6.56196429e+01
"2020-May-29",6.60795914e+01
"2020-May-30",6.66524929e+01
"2020-May-31",6.73300989e+01
"2020-Jun-01",6.81041610e+01
"2020-Jun-02",6.89664306e+01
"2020-Jun-03",6.99086593e+01
"2020-Jun-04",7.09225986e+01
"2020-Jun-05",7.20000000e+01
"2020-Jun-06",7.40600851e+01
"2020-Jun-07",7.73725957e+01
"2020-Jun-08",8.09550638e+01
"2020-Jun-09",8.38250213e+01
"2020-Jun-10",8.50000000e+01
"2020-Jun-11",8.46857143e+01
"2020-Jun-12",8.38571429e+01
"2020-Jun-13",8.26857143e+01
"2020-Jun-14",8.13428571e+01
"2020-Jun-15",8.00000000e+01
"2020-Jun-16",7.84705714e+01
"2020-Jun-17",7.65302857e+01
"2020-Jun-18",7.42940000e+01
"2020-Jun-19",7.18765714e+01
"2020-Jun-20",6.93928571e+01
"2020-Jun-21",6.69577143e+01
