"day","P_y","P_y_low","P_y_up","P_o","P_o_low",'P_o_up"
0 0.96,0.89,1.03,16.84,16.05,17.63
1 1.33,1.24,1.42,22.67,21.78,23.55
2 1.50,1.41,1.59,24.24,23.33,25.15
3 1.62,1.52,1.71,25.63,24.69,26.56
4 1.74,1.64,1.84,26.74,25.79,27.69
5 1.86,1.76,1.97,27.72,26.76,28.69
6 1.96,1.85,2.07,28.45,27.47,29.43
7 2.04,1.93,2.15,29.11,28.12,30.11
8 2.10,1.99,2.21,29.63,28.62,30.64
9 2.15,2.04,2.27,30.03,29.02,31.05
10 2.19,2.07,2.30,30.53,29.50,31.56
11 2.21,2.09,2.32,30.80,29.77,31.84
12 2.23,2.11,2.35,30.98,29.94,32.02
13 2.26,2.14,2.38,31.19,30.15,32.24
14 2.26,2.14,2.38,31.37,30.32,32.42
15 2.27,2.15,2.39,31.48,30.42,32.53
16 2.28,2.16,2.40,31.54,30.48,32.59
17 2.28,2.16,2.40,31.66,30.60,32.72
18 2.30,2.18,2.42,31.72,30.66,32.79
19 2.30,2.18,2.43,31.82,30.75,32.89
20 2.31,2.19,2.43,31.82,30.75,32.89
21 2.31,2.19,2.43,31.86,30.79,32.93
22 2.31,2.19,2.43,31.86,30.79,32.93
23 2.31,2.19,2.43,31.86,30.79,32.93
24 2.31,2.19,2.43,31.86,30.79,32.93
25 2.32,2.20,2.44,31.86,30.79,32.93
26 2.32,2.20,2.44,31.86,30.79,32.93
27 2.32,2.20,2.44,31.86,30.79,32.93
28 2.32,2.20,2.44,31.86,30.79,32.93
29 2.32,2.20,2.44,31.86,30.79,32.93
30 2.32,2.20,2.44,31.86,30.79,32.93
