"day","P_y_rec","P_y_death","P_y_cont"
0,0.000,0.004,0.996
1,0.028,0.007,0.964
2,0.108,0.009,0.883
3,0.195,0.010,0.795
4,0.277,0.011,0.712
5,0.375,0.014,0.611
6,0.465,0.017,0.518
7,0.542,0.017,0.441
8,0.615,0.017,0.368
9,0.678,0.017,0.305
10,0.733,0.017,0.250
11,0.778,0.018,0.204
12,0.814,0.018,0.168
13,0.841,0.019,0.140
14,0.858,0.019,0.123
15,0.875,0.019,0.106
16,0.897,0.019,0.084
17,0.904,0.019,0.077
18,0.909,0.021,0.070
19,0.921,0.022,0.057
20,0.932,0.022,0.046
21,0.934,0.024,0.042
22,0.936,0.024,0.040
23,0.938,0.024,0.038
24,0.944,0.026,0.030
25,0.944,0.026,0.030
26,0.949,0.026,0.025
27,0.949,0.026,0.025
28,0.949,0.026,0.025
29,0.951,0.026,0.023
30,0.951,0.026,0.023
31,0.956,0.026,0.018
32,0.958,0.026,0.015
33,0.961,0.029,0.010
34,0.964,0.029,0.008
35,0.966,0.029,0.005
36,0.966,0.029,0.005
37,0.966,0.029,0.005
38,0.971,0.029,0.000
