,AS
2020-03-06,20
2020-03-07,20
2020-03-08,20
2020-03-09,20
2020-03-10,20
2020-03-11,19.4239
2020-03-12,18.8819
2020-03-13,18.428
2020-03-14,18.116
2020-03-15,18
2020-03-16,18.0327
2020-03-17,18.1291
2020-03-18,18.2871
2020-03-19,18.5045
2020-03-20,18.7789
2020-03-21,19.1082
2020-03-22,19.49
2020-03-23,19.9222
2020-03-24,20.4024
2020-03-25,20.9285
2020-03-26,21.4982
2020-03-27,22.1092
2020-03-28,22.7594
2020-03-29,23.4464
2020-03-30,24.168
2020-03-31,24.922
2020-04-01,25.7062
2020-04-02,26.5182
2020-04-03,27.3558
2020-04-04,28.2168
2020-04-05,29.099
2020-04-06,30
2020-04-07,31.1492
2020-04-08,32.6866
2020-04-09,34.4764
2020-04-10,36.3825
2020-04-11,38.269
2020-04-12,40
2020-04-13,41.5927
2020-04-14,43.1583
2020-04-15,44.7017
2020-04-16,46.2278
2020-04-17,47.7416
2020-04-18,49.248
2020-04-19,50.752
2020-04-20,52.2584
2020-04-21,53.7722
2020-04-22,55.2983
2020-04-23,56.8417
2020-04-24,58.4073
2020-04-25,60
2020-04-26,61.8573
2020-04-27,64.0218
2020-04-28,66.2059
2020-04-29,68.122
2020-04-30,69.4826
2020-05-01,70
2020-05-02,68.648
2020-05-03,65.424
2020-05-04,61.576
2020-05-05,58.352
2020-05-06,57
2020-05-07,57.2676
2020-05-08,57.9636
2020-05-09,58.9278
2020-05-10,60
2020-05-11,61.7266
2020-05-12,64.2925
2020-05-13,66.995
2020-05-14,69.1317
2020-05-15,70
2020-05-16,69.86
2020-05-17,69.48
2020-05-18,68.92
2020-05-19,68.24
2020-05-20,67.5
2020-05-21,66.76
2020-05-22,66.08
2020-05-23,65.52
2020-05-24,65.14
2020-05-25,65
2020-05-26,65.0716
2020-05-27,65.2809
2020-05-28,65.6196
2020-05-29,66.0796
2020-05-30,66.6525
2020-05-31,67.3301
2020-06-01,68.1042
2020-06-02,68.9664
2020-06-03,69.9087
2020-06-04,70.9226
2020-06-05,72
2020-06-06,74.0601
2020-06-07,77.3726
2020-06-08,80.9551
2020-06-09,83.825
2020-06-10,85
2020-06-11,84.6857
2020-06-12,83.8571
2020-06-13,82.6857
2020-06-14,81.3429
2020-06-15,80
2020-06-16,78.4706
2020-06-17,76.5303
2020-06-18,74.294
2020-06-19,71.8766
2020-06-20,69.3929
2020-06-21,66.9577
2020-06-22,64.686
2020-06-23,62.6926
2020-06-24,61.0923
2020-06-25,60
2020-06-26,59.212
2020-06-27,58.456
2020-06-28,57.744
2020-06-29,57.088
2020-06-30,56.5
2020-07-01,55.992
2020-07-02,55.576
2020-07-03,55.264
2020-07-04,55.068
2020-07-05,55
2020-07-06,55.52
2020-07-07,56.76
2020-07-08,58.24
2020-07-09,59.48
2020-07-10,60
2020-07-11,59.5585
2020-07-12,58.4756
2020-07-13,57.1135
2020-07-14,55.8342
2020-07-15,55
2020-07-16,54.5388
2020-07-17,54.1324
2020-07-18,53.7736
