,Full,Net
3/6/2020,,0
3/7/2020,,0
3/8/2020,,0
3/9/2020,0.67,0.67
3/10/2020,0.09,0.09
3/11/2020,0.45,0.45
3/12/2020,0.1,0.1
3/13/2020,,0
3/14/2020,0.36,0.36
3/15/2020,0.06,0.06
3/16/2020,,0
3/17/2020,0.13,0.13
3/18/2020,0.33,0.33
3/19/2020,0.27,0.27
3/20/2020,,0
3/21/2020,0.2,0.2
3/22/2020,0.07,0.07
3/23/2020,0.3,0.3
3/24/2020,0.21,0.21
3/25/2020,0.19,0.19
3/26/2020,0.32,0.32
3/27/2020,0.19,0.19
3/28/2020,0.58,0.58
3/29/2020,0.19,0.19
3/30/2020,0.28,0.28
3/31/2020,0.36,0.36
4/1/2020,0.07,0.07
4/2/2020,0.27,0.27
4/3/2020,0.5,0.5
4/4/2020,0.42,0.42
4/5/2020,0.46,0.46
4/6/2020,0.76,0.76
4/7/2020,0.17,0.17
4/8/2020,0.62,0.62
4/9/2020,0.69,0.69
4/10/2020,0.65,0.65
4/11/2020,0.47,0.47
4/12/2020,0.46,0.46
4/13/2020,0.7,0.7
4/14/2020,0.64,0.64
4/15/2020,0.68,0.68
4/16/2020,0.32,0.32
4/17/2020,0.5,0.5
4/18/2020,0.76,0.76
4/19/2020,0.72,0.72
4/20/2020,0.86,0.86
4/21/2020,0.74,0.74
4/22/2020,0.6,0.6
4/23/2020,0.83,0.83
4/24/2020,1,1
4/25/2020,0.33,0.33
4/26/2020,0.43,0.43
4/27/2020,,0
4/28/2020,0.86,0.86
4/29/2020,0.25,0.25
4/30/2020,0.25,0.25
5/1/2020,0.6,0.6
5/2/2020,0.71,0.71
5/3/2020,0.86,0.86
5/4/2020,0.7,0.7
5/5/2020,,0
5/6/2020,0.89,0.89
5/7/2020,0.67,0.67
5/8/2020,0.86,0.86
5/9/2020,0.4,0.4
5/10/2020,0.77,0.77
5/11/2020,1,1
5/12/2020,1,1
5/13/2020,1,1
5/14/2020,,0
5/15/2020,0.8,0.8
5/16/2020,1,1
5/17/2020,0.5,0.5
5/18/2020,0.67,0.67
5/19/2020,0.75,0.75
5/20/2020,,0
5/21/2020,1,1
