"day","P_o_rec","P_o_death","P_o_cont"
0,0.000,0.016,0.984
1,0.016,0.029,0.954
2,0.044,0.047,0.909
3,0.086,0.059,0.855
4,0.124,0.072,0.805
5,0.165,0.083,0.751
6,0.205,0.098,0.697
7,0.246,0.112,0.643
8,0.301,0.121,0.577
9,0.356,0.131,0.513
10,0.396,0.138,0.466
11,0.446,0.150,0.404
12,0.491,0.159,0.350
13,0.528,0.163,0.309
14,0.554,0.166,0.280
15,0.601,0.170,0.230
16,0.632,0.173,0.195
17,0.647,0.176,0.176
18,0.665,0.178,0.158
19,0.682,0.184,0.133
20,0.698,0.186,0.116
21,0.706,0.189,0.105
22,0.713,0.189,0.098
23,0.726,0.189,0.085
24,0.732,0.189,0.079
25,0.736,0.193,0.071
26,0.743,0.195,0.062
27,0.745,0.200,0.054
28,0.748,0.203,0.049
29,0.754,0.206,0.040
30,0.757,0.206,0.037
31,0.760,0.209,0.030
32,0.760,0.209,0.030
33,0.760,0.209,0.030
34,0.760,0.213,0.027
35,0.764,0.213,0.023
36,0.768,0.217,0.015
37,0.776,0.217,0.008
38,0.776,0.217,0.008
39,0.776,0.217,0.008
40,0.776,0.217,0.008
41,0.779,0.217,0.004
42,0.779,0.217,0.004
43,0.779,0.217,0.004
44,0.779,0.217,0.004
45,0.779,0.217,0.004
46,0.779,0.217,0.004
47,0.779,0.217,0.004
48,0.779,0.217,0.004
49,0.779,0.217,0.004
50,0.779,0.217,0.004
51,0.779,0.217,0.004
52,0.779,0.217,0.004
53,0.779,0.217,0.004
54,0.783,0.217,0.000
