,DeathCovid,DeathWithCovid,Total
2020-08-01,29,0,29
2020-08-02,29,0,29
2020-08-03,29,0,29
2020-08-04,29,0,29
2020-08-05,29,0,29
2020-08-06,31,0,31
2020-08-07,31,0,31
2020-08-08,31,0,31
2020-08-09,31,0,31
2020-08-10,31,0,31
2020-08-11,31,0,31
2020-08-12,31,0,31
2020-08-13,31,0,31
2020-08-14,31,0,31
2020-08-15,31,0,31
2020-08-16,31,0,31
2020-08-17,31,0,31
2020-08-18,33,0,33
2020-08-19,33,0,33
2020-08-20,33,0,33
2020-08-21,33,0,33
2020-08-22,33,0,33
2020-08-23,33,0,33
2020-08-24,33,0,33
2020-08-25,33,0,33
2020-08-26,33,0,33
2020-08-27,33,0,33
2020-08-28,33,0,33
2020-08-29,33,0,33
2020-08-30,33,0,33
2020-08-31,33,0,33
2020-09-01,33,0,33
2020-09-02,37,0,37
2020-09-03,37,0,37
2020-09-04,37,0,37
2020-09-05,37,0,37
2020-09-06,37,0,37
2020-09-07,37,0,37
2020-09-08,37,0,37
2020-09-09,37,0,37
2020-09-10,37,0,37
2020-09-11,38,0,38
2020-09-12,38,0,38
2020-09-13,38,0,38
2020-09-14,38,0,38
2020-09-15,38,0,38
2020-09-16,39,0,39
2020-09-17,39,0,39
2020-09-18,39,0,39
2020-09-19,39,0,39
2020-09-20,39,0,39
2020-09-21,40,0,40
2020-09-22,41,0,41
2020-09-23,41,0,41
2020-09-24,43,0,43
2020-09-25,44,0,44
2020-09-26,44,0,44
2020-09-27,44,0,44
2020-09-28,45,0,45
2020-09-29,48,0,48
2020-09-30,48,0,48
2020-10-01,48,0,48
2020-10-02,54,0,54
2020-10-03,55,20,75
2020-10-04,55,20,75
2020-10-05,55,20,75
2020-10-06,55,20,75
2020-10-07,55,20,75
2020-10-08,55,20,75
2020-10-09,55,20,75
2020-10-10,55,20,75
2020-10-11,55,20,75
2020-10-12,61,25,86
2020-10-13,66,25,91
2020-10-14,71,25,96
2020-10-15,71,25,96
2020-10-16,82,35,117
2020-10-17,88,35,123
2020-10-18,92,37,129
2020-10-19,92,37,129
2020-10-20,98,42,140
2020-10-21,115,52,167
2020-10-22,134,61,195
2020-10-23,134,61,195
2020-10-24,159,65,224
2020-10-25,165,65,230
2020-10-26,176,68,244
2020-10-27,184,78,262
2020-10-28,200,82,282
2020-10-29,212,86,298
2020-10-30,219,86,305
2020-10-31,219,86,305
2020-11-01,219,86,305
2020-11-02,235,90,325
2020-11-03,261,97,358
2020-11-04,286,112,398
2020-11-05,317,121,438
2020-11-06,351,127,478
2020-11-07,351,127,478
2020-11-08,366,129,495
2020-11-09,390,144,534
2020-11-10,414,155,569
2020-11-11,464,164,628
2020-11-12,491,164,655
2020-11-13,510,167,677
2020-11-14,510,167,677
2020-11-15,526,167,693
2020-11-16,557,171,728
2020-11-17,579,176,755
2020-11-18,614,183,797
2020-11-19,644,185,829
2020-11-20,671,188,859
2020-11-21,671,188,859
2020-11-22,709,194,903
2020-11-23,732,196,928
2020-11-24,732,196,928
2020-11-25,749,196,945
2020-11-26,771,198,969
2020-11-27,798,205,1003
2020-11-28,816,208,1024
2020-11-29,839,212,1051
2020-11-30,868,219,1087
2020-12-01,898,220,1118
2020-12-02,930,240,1170
2020-12-03,957,251,1208
2020-12-04,981,253,1234
2020-12-05,996,253,1249
2020-12-06,1018,256,1274
2020-12-07,1046,270,1316
2020-12-08,1084,274,1358
2020-12-09,1104,280,1384
2020-12-10,1122,290,1412
2020-12-11,1148,293,1441
2020-12-12,1175,303,1478
2020-12-13,1205,313,1518
2020-12-14,1251,334,1585
2020-12-15,1309,350,1659
2020-12-16,1378,365,1743
2020-12-17,1440,379,1819
2020-12-18,1510,387,1897
2020-12-19,1555,394,1949
2020-12-20,1618,397,2015
2020-12-21,1655,412,2067
2020-12-22,1686,420,2106
2020-12-23,1732,429,2161
2020-12-24,1732,429,2161
2020-12-25,1732,429,2161
2020-12-26,1773,458,2231
2020-12-27,1879,498,2377
2020-12-28,1983,501,2484
2020-12-29,2065,507,2572
2020-12-30,2138,531,2669
2020-12-31,2250,569,2819
2021-01-01,2250,569,2819
2021-01-02,2317,591,2908
2021-01-03,2521,610,3131
2021-01-04,2603,622,3225
2021-01-05,2657,627,3284
2021-01-06,2717,632,3349
2021-01-07,2788,638,3426
2021-01-08,2836,644,3480
2021-01-09,2918,654,3572
2021-01-10,3007,663,3670
2021-01-11,3102,668,3770
2021-01-12,3163,676,3839
2021-01-13,3260,686,3946
2021-01-14,3362,702,4064
2021-01-15,3417,706,4123
2021-01-16,3474,731,4205
2021-01-17,3526,752,4278
2021-01-18,3637,779,4416
2021-01-19,3737,786,4523
2021-01-20,3801,812,4613
2021-01-21,3894,828,4722
2021-01-22,3965,851,4816
2021-01-23,4068,877,4945
2021-01-24,4068,877,4945
2021-01-25,4260,904,5164
2021-01-26,4361,927,5288
2021-01-27,4411,946,5357
2021-01-28,4495,973,5468
2021-01-29,4565,996,5561
2021-01-30,4642,1023,5665
2021-01-31,4711,1035,5746
2021-02-01,4784,1075,5859
2021-02-02,4889,1082,5971
2021-02-03,4976,1087,6063
2021-02-04,5050,1089,6139
2021-02-05,5135,1116,6251
2021-02-06,5199,1147,6346
