,Hospitalizations,ICU,Ventilation,Admission,Discharge
2021-01-17,3077,240,289,27,22
2021-01-16,3067,241,287,27,22
2021-01-15,3055,250,277,27,22
2021-01-14,3049,251,279,27,22
2021-01-13,3036,243,246,27,22
2021-01-12,3082,238,253,200,355
2021-01-11,3108,232,161,313,355
2021-01-10,3033,228,251,162,126
2021-01-09,2928,232,253,239,165
2021-01-08,2904,224,249,343,356
2021-01-07,2921,215,248,293,325
2021-01-06,2883,216,242,240,125
2021-01-05,2847,213,244,297,320
2021-01-04,2864,207,246,278,296
2021-01-03,2771,205,247,197,107
2021-01-02,2668,198,238,215,109
2021-01-01,2607,204,235,176,121
2020-12-31,2650,198,226,245,335
2020-12-30,2659,196,220,274,289
2020-12-29,2606,197,206,295,280
2020-12-28,2546,195,217,328,286
2020-12-27,2426,199,209,198,92
2020-12-26,2317,190,206,183,97
2020-12-25,2255,183,197,201,102
2020-12-24,2182,184,189,161,129
2020-12-23,2220,173,191,245,394
2020-12-22,2328,163,185,272,294
2020-12-21,2310,165,169,257,256
2020-12-20,2210,159,160,154,82
2020-12-19,2155,156,153,150,88
2020-12-18,2157,153,165,246,258
2020-12-17,2197,152,159,203,182
2020-12-16,2149,131,147,260,206
2020-12-15,2105,160,150,230,216
2020-12-14,2093,142,146,219,223
2020-12-13,2037,140,142,138,71
2020-12-12,1955,136,139,143,68
2020-12-11,1937,133,136,224,257
2020-12-10,1932,144,138,235,182
2020-12-09,1900,146,138,183,176
2020-12-08,1862,139,131,223,163
2020-12-07,1796,133,137,231,192
2020-12-06,1769,130,125,118,59
2020-12-05,1728,121,125,106,62
2020-12-04,1711,121,126,171,196
2020-12-03,1675,125,121,172,144
2020-12-02,1643,122,132,166,149
2020-12-01,1613,112,123,160,150
2020-11-30,1582,112,131,163,158
2020-11-29,1550,116,125,89,48
2020-11-28,1487,101,125,102,50
2020-11-27,1475,106,124,172,206
2020-11-26,1480,101,122,169,127
2020-11-25,1472,101,118,165,147
2020-11-24,1491,88,125,172,167
2020-11-23,1488,89,125,166,159
2020-11-22,1508,101,117,84,42
2020-11-21,1485,109,110,74,57
2020-11-20,1460,104,112,141,174
2020-11-19,1501,104,133,133,156
2020-11-18,1527,99,112,153,157
2020-11-17,1558,107,109,83,67
2020-11-16,1546,100,116,203,178
2020-11-15,1509,100,118,80,48
2020-11-14,1418,95,107,115,75
2020-11-13,1474,108,117,157,217
2020-11-12,1528,107,127,160,166
2020-11-11,1553,105,116,133,172
2020-11-10,1550,117,115,144,146
2020-11-09,1499,119,118,145,164
2020-11-08,1526,121,114,124,44
2020-11-07,1453,119,110,114,49
2020-11-06,1440,121,110,195,161
2020-11-05,1441,112,106,192,144
2020-11-04,1433,119,88,172,137
2020-11-03,1392,105,91,174,171
2020-11-02,1398,103,96,173,117
2020-11-01,1373,106,90,117,65
2020-10-31,1360,113,94,116,65
2020-10-30,1320,113,96,126,114
2020-10-29,1237,110,95,136,120
2020-10-28,1182,96,121,172,120
2020-10-27,1102,77,116,167,131
2020-10-26,1045,87,90,168,118
2020-10-25,997,86,81,131,30
2020-10-24,889,82,76,114,44
2020-10-23,833,66,71,168,107
2020-10-22,674,15,53,149,104
2020-10-21,668,20,63,140,71
2020-10-20,622,18,58,146,96
2020-10-19,560,22,51,127,55
2020-10-18,481,21,51,72,16
2020-10-17,481,21,51,76,19
2020-10-16,469,20,51,107,72
2020-10-15,413,18,51,97,35
2020-10-14,375,18,49,96,46
2020-10-13,350,18,48,78,56
2020-10-12,306,15,40,91,41
2020-10-11,303,12,36,45,13
2020-10-10,298,12,36,60,30
2020-10-09,295,12,31,72,70
2020-10-08,298,16,26,75,44
2020-10-07,276,15,27,63,46
2020-10-06,255,16,26,58,38
2020-10-05,264,13,25,52,33
2020-10-04,242,13,24,36,22
2020-10-03,238,13,24,47,13
2020-10-02,235,15,22,67,39
2020-10-01,215,15,24,29,18
2020-09-30,218,11,23,45,34
2020-09-29,206,13,21,33,26
2020-09-28,187,16,18,35,16
2020-09-27,168,16,15,24,10
2020-09-26,169,16,15,27,9
2020-09-25,157,16,14,30,18
2020-09-24,125,12,12,43,21
2020-09-23,119,14,11,29,15
2020-09-22,115,9,8,31,10
2020-09-21,115,10,8,28,21
2020-09-20,92,9,9,20,4
2020-09-19,90,9,10,8,7
2020-09-18,96,8,11,26,13
2020-09-17,106,10,12,18,24
2020-09-16,103,10,12,13,3
2020-09-15,107,13,14,14,6
2020-09-14,107,13,14,17,13
2020-09-13,96,12,10,13,1
2020-09-12,96,12,10,6,6
2020-09-11,98,14,9,19,22
2020-09-10,94,15,8,14,7
2020-09-09,95,16,8,14,10
2020-09-08,98,17,7,12,10
2020-09-07,90,17,7,10,8
2020-09-06,78,11,7,6,0
2020-09-05,78,11,7,13,1
2020-09-04,73,8,7,13,11
2020-09-03,70,9,6,14,5
2020-09-02,70,10,6,13,13
2020-09-01,73,11,7,7,4
2020-08-31,12,11,0,9,8
2020-08-30,60,7,0,2,0
2020-08-29,12,7,0,5,1
2020-08-28,10,7,0,12,5
2020-08-27,10,11,0,15,6
2020-08-26,12,7,0,3,11
2020-08-25,14,7,0,11,1
2020-08-24,24,7,0,7,5
2020-08-23,26,11,0,2,3
2020-08-22,27,7,0,3,1
2020-08-21,29,7,0,7,6
2020-08-20,38,7,0,7,4
2020-08-19,33,11,0,4,3
2020-08-18,33,7,0,1,2
2020-08-17,32,7,0,3,2
2020-08-16,33,7,0,1,0
2020-08-15,35,11,0,2,0
2020-08-14,37,7,0,8,3
2020-08-13,38,7,0,2,4
2020-08-12,40,7,0,5,3
2020-08-11,41,11,1,4,2
2020-08-10,39,7,0,7,4
2020-08-09,38,7,0,7,0
2020-08-08,37,7,0,1,3
2020-08-07,38,11,0,6,4
2020-08-06,39,7,0,5,3
2020-08-05,47,7,0,4,2
2020-08-04,44,7,0,4,0
2020-08-03,47,11,1,4,2
2020-08-02,46,7,1,0,0
2020-08-01,47,7,1,3,2
