,BB,BA,KE,NR,PO,TR,TT,ZA,mean
3/6/2020,122.84,95.71,111.88,117.83,120.44,136.71,109.82,137.69,119.115
3/7/2020,99.93,75.52,84.75,101.72,108.19,107.12,92.95,119.15,98.66625
3/8/2020,102.44,72.36,90.7,98.48,108.13,121.43,89.67,117.26,100.05875
3/9/2020,94.83,82.46,89.91,98.83,88.37,91.19,80.26,88.99,89.355
3/10/2020,92.88,74.56,96.08,89.68,86.7,91.5,81.63,88.53,87.695
3/11/2020,83,68.65,90.83,90.49,85.03,90.07,76.83,81.31,83.27625
3/12/2020,81.23,59.72,83.81,85.62,77.79,91.11,71.46,82.51,79.15625
3/13/2020,67.63,45.56,71.42,68.2,63.96,80.38,64.37,70.97,66.56125
3/14/2020,49.54,30.04,53.52,57.52,56.58,57.71,47.52,49.41,50.23
3/15/2020,47.49,29.6,52.25,56.25,51.52,59.18,46.13,49.97,49.04875
3/16/2020,47.98,32.84,53.68,57.14,47.37,50.75,46.21,42.11,47.26
3/17/2020,48.76,35.68,56.38,59.52,46,54.87,50.59,43.54,49.4175
3/18/2020,55.88,36.18,56.62,60.23,45.64,55.52,56.09,42.7,51.1075
3/19/2020,53.65,39.43,64.58,59.7,48,60.29,53.44,45.66,53.09375
3/20/2020,61.61,38.46,62.61,65.53,50.18,64.56,55.9,45.15,55.5
3/21/2020,41.08,24.73,47.84,48.72,49.46,42.29,39.79,37.84,41.46875
3/22/2020,45.64,28.53,49.7,53.31,46.83,52.17,43.32,41.45,45.11875
3/23/2020,54.32,32.5,58.84,61.32,40.11,60.6,45.88,43.82,49.67375
3/24/2020,55.88,34.85,59.05,63.48,52.78,62.79,48.32,44.87,52.7525
3/25/2020,51.56,34.42,67.53,65.13,51.34,67.06,49.65,48.16,54.35625
3/26/2020,56.59,39.86,72.54,64.85,57.11,63.22,53.49,48.57,57.02875
3/27/2020,64.31,43.15,78.04,72.79,58.49,75.72,60.17,52.68,63.16875
3/28/2020,47.17,41.08,71.78,67.97,59.29,68.06,63.8,49.31,58.5575
3/29/2020,56.09,37.27,58.38,64.85,58.46,72.76,58.2,52.89,57.3625
3/30/2020,69.55,38.63,71.48,63.43,57.92,65.56,55.51,54.78,59.6075
3/31/2020,62.85,43.49,76.67,69.74,61.95,65.14,54.47,53.68,60.99875
4/1/2020,66.75,43.37,80.26,71.8,59.03,74.87,64.53,53.5,64.26375
4/2/2020,66.96,45.4,76.76,72.13,65.21,76.88,64.02,57.51,65.60875
4/3/2020,65.51,45.58,80.92,82.15,65.57,75.14,64.39,55.36,66.8275
4/4/2020,57.33,40.43,61.66,70.2,58.88,70.26,55.15,53.93,58.48
4/5/2020,70.22,41.5,81.53,76.52,70.17,79.22,64.7,59.24,67.8875
4/6/2020,70.01,50.01,76.94,82.53,68.05,77.11,66.34,66.06,69.63125
4/7/2020,85.98,60.12,101.43,85.72,72.41,90.19,84.24,71.86,81.49375
4/8/2020,37.57,37.08,58.57,55.69,44.56,48.71,47.52,43.92,46.7025
4/9/2020,40.05,32.31,48.18,51.48,40.5,42.36,40.43,32.99,41.0375
4/10/2020,33.18,24.48,37.7,39.13,34.16,39.71,28.11,32.2,33.58375
4/11/2020,29.14,26.68,41.04,37.94,30.69,37.78,31.96,32.53,33.47
