,BB,BA,KE,NR,PO,TR,TT,ZA,SK
2020-03-06,122.84,95.71,111.88,117.83,120.44,136.71,109.82,137.69,111
2020-03-07,99.93,75.52,84.75,101.72,108.19,107.12,92.95,119.15,91.05
2020-03-08,102.44,72.36,90.7,98.48,108.13,121.43,89.67,117.26,90.48
2020-03-09,94.83,82.46,89.91,98.83,88.37,91.19,80.26,88.99,86.81
2020-03-10,92.88,74.56,96.08,89.68,86.7,91.5,81.63,88.53,83.1
2020-03-11,83,68.65,90.83,90.49,85.03,90.07,76.83,81.31,77.78
2020-03-12,81.23,59.72,83.81,85.62,77.79,91.11,71.46,82.51,70.13
2020-03-13,67.63,45.56,71.42,68.2,63.96,80.38,64.37,70.97,58.52
2020-03-14,49.54,30.04,53.52,57.52,56.58,57.71,47.52,49.41,43.65
2020-03-15,47.49,29.6,52.25,56.25,51.52,59.18,46.13,49.97,42.59
2020-03-16,47.98,32.84,53.68,57.14,47.37,50.75,46.21,42.11,42.59
2020-03-17,48.76,35.68,56.38,59.52,46,54.87,50.59,43.54,45.02
2020-03-18,55.88,36.18,56.62,60.23,45.64,55.52,56.09,42.7,46.27
2020-03-19,53.65,39.43,64.58,59.7,48,60.29,53.44,45.66,48.54
2020-03-20,61.61,38.46,62.61,65.53,50.18,64.56,55.9,45.15,49.77
2020-03-21,41.08,24.73,47.84,48.72,49.46,42.29,39.79,37.84,36
2020-03-22,45.64,28.53,49.7,53.31,46.83,52.17,43.32,41.45,39.63
2020-03-23,54.32,32.5,58.84,61.32,40.11,60.6,45.88,43.82,43.75
2020-03-24,55.88,34.85,59.05,63.48,52.78,62.79,48.32,44.87,46.58
2020-03-25,51.56,34.42,67.53,65.13,51.34,67.06,49.65,48.16,47.58
2020-03-26,56.59,39.86,72.54,64.85,57.11,63.22,53.49,48.57,51.2
2020-03-27,64.31,43.15,78.04,72.79,58.49,75.72,60.17,52.68,56.31
2020-03-28,47.17,41.08,71.78,67.97,59.29,68.06,63.8,49.31,53.08
2020-03-29,56.09,37.27,58.38,64.85,58.46,72.76,58.2,52.89,50.72
2020-03-30,69.55,38.63,71.48,63.43,57.92,65.56,55.51,54.78,52.41
