,Young,Old,Total
2020-09-03,126,11,137
2020-09-04,212,14,226
2020-09-05,79,9,88
2020-09-06,19,3,22
2020-09-07,83,8,91
2020-09-08,149,12,161
2020-09-09,156,22,178
2020-09-10,175,11,186
2020-09-11,174,27,201
2020-09-12,73,6,79
2020-09-13,44,4,48
2020-09-14,158,30,188
2020-09-15,84,8,92
2020-09-16,151,10,161
2020-09-17,219,16,235
2020-09-18,260,30,290
2020-09-19,124,7,131
2020-09-20,73,6,79
2020-09-21,142,33,175
2020-09-22,300,38,338
2020-09-23,294,66,360
2020-09-24,367,52,419
2020-09-25,481,71,552
2020-09-26,445,33,478
2020-09-27,233,32,265
2020-09-28,192,39,231
2020-09-29,474,93,567
2020-09-30,710,87,797
2020-10-01,608,71,679
2020-10-02,599,105,704
2020-10-03,734,84,818
2020-10-04,310,43,353
2020-10-05,284,36,320
2020-10-06,786,91,877
2020-10-07,943,94,1037
2020-10-08,1056,128,1184
2020-10-09,1604,283,1887
2020-10-10,908,146,1054
2020-10-11,449,55,504
2020-10-12,464,67,531
2020-10-13,1242,168,1410
2020-10-14,1639,290,1929
2020-10-15,1855,220,2075
2020-10-16,1771,197,1968
2020-10-17,1392,175,1567
2020-10-18,759,101,860
2020-10-19,609,96,705
2020-10-20,1890,312,2202
2020-10-21,1513,215,1728
2020-10-22,2328,253,2581
2020-10-23,2594,296,2890
2020-10-24,2637,405,3042
2020-10-25,1110,202,1312
2020-10-26,771,130,901
2020-10-27,2492,395,2887
2020-10-28,2341,444,2785
2020-10-29,2805,558,3363
2020-10-30,2280,293,2573
2020-10-31,1961,321,2282
2020-11-01,1693,190,1883
2020-11-02,1499,228,1727
2020-11-03,2791,425,3216
2020-11-04,1665,297,1962
2020-11-05,2046,308,2354
2020-11-06,2177,402,2579
2020-11-07,1584,244,1828
2020-11-08,505,72,577
2020-11-09,878,173,1051
2020-11-10,1727,331,2058
2020-11-11,2250,341,2591
2020-11-12,1708,316,2024
2020-11-13,1515,256,1771
2020-11-14,1023,177,1200
2020-11-15,351,158,509
2020-11-16,1073,253,1326
2020-11-17,1063,248,1311
2020-11-18,1384,281,1665
2020-11-19,1529,289,1818
2020-11-20,1518,343,1861
2020-11-21,794,190,984
2020-11-22,191,40,231
2020-11-23,869,152,1021
2020-11-24,1440,371,1811
2020-11-25,1546,407,1953
2020-11-26,1516,333,1849
2020-11-27,1206,321,1527
2020-11-28,949,151,1100
2020-11-29,149,47,196
2020-11-30,1029,225,1254
2020-12-01,1679,364,2043
2020-12-02,1713,269,1982
2020-12-03,1823,361,2184
2020-12-04,1803,267,2070
2020-12-05,959,310,1269
2020-12-06,459,93,552
2020-12-07,1593,356,1949
2020-12-08,2221,343,2564
2020-12-09,2710,415,3125
2020-12-10,1849,317,2166
2020-12-11,3200,507,3707
2020-12-12,1746,444,2190
2020-12-13,435,70,505
2020-12-14,1714,320,2034
2020-12-15,2987,578,3565
2020-12-16,2624,421,3045
2020-12-17,3387,604,3991
2020-12-18,2708,443,3151
2020-12-19,1797,264,2061
2020-12-20,1046,173,1219
2020-12-21,2297,366,2663
2020-12-22,3060,627,3687
2020-12-24,3557,489,4046
2020-12-25,907,134,1041
2020-12-26,739,135,874
2020-12-27,454,115,569
2020-12-28,1790,305,2095
