"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Mar-06",NaN,2.57533405e+00
"2020-Mar-07",3.32260804e+00,1.76120900e+00
"2020-Mar-08",2.13044587e+00,2.66562498e+00
"2020-Mar-09",2.94667027e+00,3.17426011e+00
"2020-Mar-10",3.29254134e+00,3.16844675e+00
"2020-Mar-11",3.19335527e+00,3.07838070e+00
"2020-Mar-12",3.04555044e+00,2.91202063e+00
"2020-Mar-13",2.84986216e+00,2.71814530e+00
"2020-Mar-14",2.64376387e+00,2.51449805e+00
"2020-Mar-15",2.43784949e+00,2.33902655e+00
"2020-Mar-16",2.26366132e+00,2.18772597e+00
"2020-Mar-17",2.11613003e+00,2.05758925e+00
"2020-Mar-18",1.99102905e+00,1.94538129e+00
"2020-Mar-19",1.88446846e+00,1.84983565e+00
"2020-Mar-20",1.79469461e+00,1.76795541e+00
"2020-Mar-21",1.71981072e+00,1.69896090e+00
"2020-Mar-22",1.65829389e+00,1.64176608e+00
"2020-Mar-23",1.60822376e+00,1.59487248e+00
"2020-Mar-24",1.56752071e+00,1.55656180e+00
"2020-Mar-25",1.53437987e+00,1.52525319e+00
"2020-Mar-26",1.50703821e+00,1.49933713e+00
"2020-Mar-27",1.48453209e+00,1.47795370e+00
"2020-Mar-28",1.46545220e+00,1.45976979e+00
"2020-Mar-29",1.44862690e+00,1.44366820e+00
"2020-Mar-30",1.43350916e+00,1.42914035e+00
"2020-Mar-31",1.41951155e+00,1.41562789e+00
"2020-Apr-01",1.40636942e+00,1.40288764e+00
"2020-Apr-02",1.39409266e+00,1.39094555e+00
"2020-Apr-03",1.38276744e+00,1.37990012e+00
"2020-Apr-04",1.37244054e+00,1.36980797e+00
"2020-Apr-05",1.36362420e+00,1.36118828e+00
"2020-Apr-06",1.35583318e+00,1.35356290e+00
"2020-Apr-07",1.34865967e+00,1.34652982e+00
"2020-Apr-08",1.34154299e+00,1.33953354e+00
"2020-Apr-09",1.33346368e+00,1.33155959e+00
"2020-Apr-10",1.32320022e+00,1.32139122e+00
"2020-Apr-11",1.30972890e+00,1.30800883e+00
"2020-Apr-12",1.29153541e+00,1.28990234e+00
"2020-Apr-13",1.26765769e+00,1.26611299e+00
"2020-Apr-14",1.23767132e+00,1.23621854e+00
"2020-Apr-15",1.20111293e+00,1.19975723e+00
"2020-Apr-16",1.15808067e+00,1.15682791e+00
"2020-Apr-17",1.10928442e+00,1.10814008e+00
"2020-Apr-18",1.05531232e+00,1.05428118e+00
"2020-Apr-19",9.97173863e-01,9.96259455e-01
"2020-Apr-20",9.36152176e-01,9.35356394e-01
"2020-Apr-21",8.73214567e-01,8.72537740e-01
"2020-Apr-22",8.09667781e-01,8.09108534e-01
"2020-Apr-23",7.46941468e-01,7.46496648e-01
"2020-Apr-24",6.86268597e-01,6.85933405e-01
"2020-Apr-25",6.28924631e-01,6.28692853e-01
