"Variables ->","newcases_rep","newcases_imp","newcases_imp_fcast","test_eff","H_imp","H_rep","D_imp","D_rep"
"Comments ->","","","","","","","",""
"Class[Size] ->","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]"
"2020-Sep-01",1.20202778e+02,8.45909596e+01,NaN,1.00000000e+02,5.24560000e+01,5.24560000e+01,4.82183201e+01,4.82183201e+01
"2020-Sep-02",1.19752963e+02,8.75095252e+01,NaN,1.00000000e+02,6.00980012e+01,6.00560000e+01,4.84014122e+01,4.84014122e+01
"2020-Sep-03",1.21330444e+02,9.25039701e+01,NaN,1.00000000e+02,6.73229352e+01,6.72320000e+01,4.88591655e+01,4.88591655e+01
"2020-Sep-04",1.24069778e+02,9.70465219e+01,NaN,1.00000000e+02,7.31049731e+01,7.30560000e+01,4.92513141e+01,4.92513141e+01
"2020-Sep-05",1.29341333e+02,1.02256982e+02,NaN,1.00000000e+02,7.79513190e+01,7.81120000e+01,4.96569565e+01,4.96569565e+01
"2020-Sep-06",1.36402667e+02,1.05006056e+02,NaN,1.00000000e+02,8.21375900e+01,8.26080000e+01,5.00347298e+01,5.00347298e+01
"2020-Sep-07",1.44440000e+02,1.06859045e+02,NaN,1.00000000e+02,8.57367029e+01,8.65440000e+01,5.03502778e+01,5.03502778e+01
"2020-Sep-08",1.52060000e+02,1.09578518e+02,NaN,1.00000000e+02,8.87140614e+01,8.97680000e+01,5.06457483e+01,5.06457483e+01
"2020-Sep-09",1.58428000e+02,1.11864388e+02,NaN,1.00000000e+02,9.14362405e+01,9.26560000e+01,5.09317744e+01,5.09317744e+01
"2020-Sep-10",1.62816000e+02,1.15056413e+02,NaN,1.00000000e+02,9.36538936e+01,9.49680000e+01,5.12142007e+01,5.12142007e+01
"2020-Sep-11",1.65136000e+02,1.21012604e+02,NaN,1.00000000e+02,9.54765849e+01,9.68480000e+01,5.14989796e+01,5.14989796e+01
"2020-Sep-12",1.65840000e+02,1.28775953e+02,NaN,1.00000000e+02,9.72882336e+01,9.85520000e+01,5.17892857e+01,5.17892857e+01
"2020-Sep-13",1.65600000e+02,1.35480507e+02,NaN,1.00000000e+02,9.89387958e+01,9.99280000e+01,5.20898810e+01,5.20898810e+01
"2020-Sep-14",1.65328000e+02,1.41472780e+02,NaN,1.00000000e+02,1.00116772e+02,1.00776000e+02,5.24089286e+01,5.24089286e+01
"2020-Sep-15",1.66656000e+02,1.46538344e+02,NaN,1.00000000e+02,1.00931588e+02,1.01272000e+02,5.27547619e+01,5.27547619e+01
"2020-Sep-16",1.71408000e+02,1.51801185e+02,NaN,1.00000000e+02,1.01313862e+02,1.01376000e+02,5.31386902e+01,5.31386905e+01
"2020-Sep-17",1.81176000e+02,1.57997314e+02,NaN,1.00000000e+02,1.01381260e+02,1.01256000e+02,5.35755941e+01,5.35755952e+01
"2020-Sep-18",1.97216000e+02,1.68651127e+02,NaN,1.00000000e+02,1.01675085e+02,1.01560000e+02,5.40803543e+01,5.40803571e+01
"2020-Sep-19",2.19344000e+02,1.83949475e+02,NaN,1.00000000e+02,1.02797088e+02,1.03152000e+02,5.46702327e+01,5.46702381e+01
"2020-Sep-20",2.46392000e+02,2.04430158e+02,NaN,1.00000000e+02,1.04980735e+02,1.06312000e+02,5.53624776e+01,5.53625000e+01
"2020-Sep-21",2.76512000e+02,2.29340542e+02,NaN,1.00000000e+02,1.08759957e+02,1.11400000e+02,5.61736911e+01,5.61738095e+01
"2020-Sep-22",3.08056000e+02,2.57510633e+02,NaN,1.00000000e+02,1.14829700e+02,1.18592000e+02,5.71191779e+01,5.71196429e+01
"2020-Sep-23",3.39832000e+02,2.87176365e+02,NaN,1.00000000e+02,1.23493842e+02,1.27840000e+02,5.82117581e+01,5.82130952e+01
"2020-Sep-24",3.72984000e+02,3.18640754e+02,NaN,1.00000000e+02,1.34307937e+02,1.38472000e+02,5.94571107e+01,5.94601190e+01
"2020-Sep-25",4.08560000e+02,3.50263406e+02,NaN,1.00000000e+02,1.46255101e+02,1.50088000e+02,6.08539844e+01,6.08595238e+01
"2020-Sep-26",4.47344000e+02,3.74460016e+02,NaN,1.00000000e+02,1.58418111e+02,1.62448000e+02,6.23929028e+01,6.24017857e+01
"2020-Sep-27",4.89072000e+02,3.92228200e+02,NaN,1.00000000e+02,1.70562573e+02,1.75056000e+02,6.40545478e+01,6.40678571e+01
"2020-Sep-28",5.32808000e+02,4.03866329e+02,NaN,1.00000853e+02,1.82209759e+02,1.87184000e+02,6.58123917e+01,6.58315476e+01
"2020-Sep-29",5.71840000e+02,4.10602963e+02,NaN,1.00006295e+02,1.93813875e+02,1.98744000e+02,6.76340867e+01,6.76607143e+01
"2020-Sep-30",6.00432000e+02,4.14433524e+02,NaN,1.00026109e+02,2.05057021e+02,2.09752000e+02,6.94874284e+01,6.95226190e+01
"2020-Oct-01",6.13880000e+02,4.26587847e+02,NaN,1.00080244e+02,2.16444452e+02,2.19888000e+02,7.13438991e+01,7.13880952e+01
"2020-Oct-02",6.08856000e+02,4.47570343e+02,NaN,1.00203614e+02,2.28093127e+02,2.29360000e+02,7.31867106e+01,7.32386905e+01
