"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Mar-06",3.08524430e+00,3.08931301e+00
"2020-Mar-07",1.83433575e+00,1.83686065e+00
"2020-Mar-08",2.12251129e+00,2.12500704e+00
"2020-Mar-09",2.20811711e+00,2.21045654e+00
"2020-Mar-10",2.23949275e+00,2.24165206e+00
"2020-Mar-11",2.19077647e+00,2.19271532e+00
"2020-Mar-12",2.10349266e+00,2.10522599e+00
"2020-Mar-13",1.99315736e+00,1.99469153e+00
"2020-Mar-14",1.87572793e+00,1.87707767e+00
"2020-Mar-15",1.76005262e+00,1.76123070e+00
"2020-Mar-16",1.65207533e+00,1.65309534e+00
"2020-Mar-17",1.55552678e+00,1.55640173e+00
"2020-Mar-18",1.47273338e+00,1.47347563e+00
"2020-Mar-19",1.40491311e+00,1.40553371e+00
"2020-Mar-20",1.35210498e+00,1.35261326e+00
"2020-Mar-21",1.31329118e+00,1.31369474e+00
"2020-Mar-22",1.28614179e+00,1.28644671e+00
"2020-Mar-23",1.26730099e+00,1.26751278e+00
"2020-Mar-24",1.25286845e+00,1.25299307e+00
"2020-Mar-25",1.23917918e+00,1.23922383e+00
"2020-Mar-26",1.22330687e+00,1.22328000e+00
"2020-Mar-27",1.20351337e+00,1.20342411e+00
"2020-Mar-28",1.17917546e+00,1.17903260e+00
"2020-Mar-29",1.15048944e+00,1.15030063e+00
"2020-Mar-30",1.11813448e+00,1.11790582e+00
"2020-Mar-31",1.08305645e+00,1.08279240e+00
"2020-Apr-01",1.04641028e+00,1.04611380e+00
"2020-Apr-02",1.00981189e+00,1.00948450e+00
"2020-Apr-03",9.75696100e-01,9.75337507e-01
"2020-Apr-04",9.47458498e-01,9.47065744e-01
"2020-Apr-05",9.29488869e-01,9.29055067e-01
"2020-Apr-06",9.26789894e-01,9.26302726e-01
"2020-Apr-07",9.43706168e-01,9.43147061e-01
"2020-Apr-08",9.81870961e-01,9.81216829e-01
"2020-Apr-09",1.03845004e+00,1.03767938e+00
"2020-Apr-10",1.10517997e+00,1.10428338e+00
"2020-Apr-11",1.16939272e+00,1.16838380e+00
"2020-Apr-12",1.21770008e+00,1.21661823e+00
"2020-Apr-13",1.24036745e+00,1.23926804e+00
"2020-Apr-14",1.23327817e+00,1.23221573e+00
"2020-Apr-15",1.19770056e+00,1.19671536e+00
"2020-Apr-16",1.13875543e+00,1.13786828e+00
"2020-Apr-17",1.06313111e+00,1.06234572e+00
"2020-Apr-18",9.77152292e-01,9.76461381e-01
"2020-Apr-19",8.86154408e-01,8.85545808e-01
"2020-Apr-20",7.94390946e-01,7.93851680e-01
"2020-Apr-21",7.05003303e-01,7.04521865e-01
"2020-Apr-22",6.20336283e-01,6.19903411e-01
"2020-Apr-23",5.42478009e-01,5.42086204e-01
"2020-Apr-24",4.73525493e-01,4.73167725e-01
"2020-Apr-25",4.15623173e-01,4.15291299e-01
